	biodynamique_vs_conventional purely mineral fertilization_fold_change_log2	biodynamique_vs_conventional purely mineral fertilization_p_value
N-Acetyl-proline	0.227744540540209	0.195989424887442
2-(Hydroxymethyl)-6-[4-(3-hydroxyprop-1-enyl)-2,6-dimethoxyphenoxy]oxane-3,4,5-triol	-0.0897427661488808	0.597676780728726
lysine	0.314614501859685	0.0668287130606773
adenine	0.166965269955022	0.355896086644494
glutamine	0.41589094562666	0.0197742166925988
Tetrahydroneopterin	-0.225482911189372	0.153904505148628
2-amino-9-[3,4-dihydroxy-5-(hydroxymethyl)oxolan-2-yl]-3H-purin-6-one	0.260238004613314	0.137247598563318
9H-xanthine	-0.0406555932833793	0.79444211768342
methionine S-oxide	-0.135997924732337	0.388118427913329
Tyrosyl-Proline	0.120277725996191	0.526242627416496
salicylic acid	-0.0999033436195077	0.558616259967897
S-ethylhomocysteine	-0.000966026794456091	0.995754421843898
acetylagmatine	0.243320969466485	0.0979913678068398
phenylethanolamine	0.290952963891207	0.0799076456384467
N-Carboxyacetyl-D-phenylalanine	-0.0854302892966846	0.543884654204219
tryptamine	-0.219274434572283	0.21913856345875
N-acetyldopamine	0.0287398948626759	0.865563403188977
pipecolic acid	0.148426876756514	0.415177167895183
Camelinin	-0.192645077942396	0.337049057953584
2-Methyl-4-carboxy-3,4,5,6-tetrahydropyrimidine	-0.20711382243148	0.260104126281722
tryptophan	0.555998286652994	0.00133945335792773
guanine	0.229331378400079	0.17562122463209
L-Glutathione (reduced)	-0.1715991365094	0.245652993878636
2-(3,4-dihydroxyphenyl)-5,7-dihydroxy-3-[[3,4,5-trihydroxy-6-[(3,4,5-trihydroxy-6-methyl-2-oxanyl)oxymethyl]-2-oxanyl]oxy]-1-benzopyran-4-one	-0.416824203492034	0.00191262165962298
[3-carboxy-2-(1-oxohexadecoxy)propyl]-trimethylammonium	0.0510916896560341	0.830892140266125
Quercetin-3-o-vicianoside	-0.511536204231369	0.000299027420356612
N-acetylphenylalanine	-0.26068375393119	0.0962289277476021
methiin	-0.234746252548608	0.110021831317133
trans-Cinnamoyl b-D-glucoside	-0.192645077942396	0.337049057953584
N-Acetylvanilalanine	-0.346249421611187	0.0480451693426107
DIMBOA-Glc	0.497658647954771	0.00137378572548143
N-cis-Caffeoyltyramine	0.295136274227575	0.0854744381515851
SPB 16:1;2O	-0.159929668210336	0.273744755563672
3-Methyl-2-[[2,3,4-trihydroxy-5-(hydroxymethyl)oxolan-2-yl]methylamino]pentanoic acid	-0.130815468198907	0.503090350805808
Phenylbutyrylglutamine	-0.161542812600541	0.413432328500814
2-[[3-(3,4-dimethoxyphenyl)-1-oxoprop-2-enyl]amino]benzoic acid	-0.0650813669369586	0.703399665892284
3-aminoadipic acid	0.0751863290861354	0.648905788687889
methionine	-0.15063593791929	0.404859981154138
N-(4-aminobutyl)-3-(4-hydroxyphenyl)propanimidic acid	0.296862146660573	0.0600883226875251
ACar 13:0	0.00470186906630428	0.979376966388834
gallic acid	0.0876945102848094	0.663470607753664
N-(tetradecanoyl)ethanolamine	0.0148049893111626	0.921675929694673
N-(Ammonioacetyl)tyrosyltyrosylprolylthreonine	-0.256465294060111	0.105141003503433
gamma-glutamylphenylalanine	0.327156395244566	0.10172696398451
9-(methylsulfinyl)nonanoic acid	0.0873113277787345	0.645967952972136
gamma-L-Glutamyl-L-valine	-0.0434766683733229	0.760547781667968
asparagine	0.323048460765012	0.0631771163314707
2-aminooctadecane-1,3-diol	-0.233342861778498	0.183241029932342
