cluster index	parent mass	RTMean
1	601.1185201009115	3.3132531333333333
2	651.4839935326071	10.838500470588237
3	450.1605766699733	2.989509134210526
4	852.5384589335123	9.626095322222223
5	437.1419709863217	3.30554115263158
6	620.3645790743012	7.119636808108107
7	409.2197555972359	5.38612192638889
8	499.3717048654724	9.434688375000002
9	474.2353363037109	1.6574322
10	312.21718177380217	6.436243105084741
11	590.3245826154879	7.313931807692307
12	344.2069038980807	3.1180161
13	288.1922575857186	2.5959868724137936
14	667.453468777681	10.382129352941178
15	174.05509733181236	2.3039984739130435
16	385.16166432698566	4.50715605
17	456.3472532384536	4.409822682352941
18	567.2950592041016	8.1986473
19	548.3066630643957	3.784970147058824
20	687.3374633789062	8.7436854
21	383.0759395252575	2.0014235696969696
22	399.1627571859908	2.4278478545454543
23	487.2524992647807	4.297479025
24	348.722459825605	3.455813447457627
25	355.079450654014	1.6672739097560976
26	225.1485123878531	3.040348354918033
27	544.3628173856445	8.426717120000001
28	495.1478967684528	2.9983490499999985
29	487.1923600582254	2.551588292982456
30	600.4678344726562	8.550843154471544
31	403.23261949492667	8.56069000325203
32	429.2997113413014	4.032971570588234
33	504.34322814989423	7.977464893333332
34	358.1130813600301	3.27399182
35	354.17669172902816	3.445317970588236
36	542.3114318847656	7.626672500000001
37	370.2952471854726	7.182480750000001
38	453.2108981708577	2.819846033333333
39	461.1545673717152	3.764594409090909
40	353.1204097991153	2.464394235294118
41	422.373926163508	4.2469376625
42	428.1181320193726	3.13410868
43	307.1765270245187	2.2466159696428574
44	373.1126627045537	2.295506353703704
45	233.1536338738228	5.282514886792452
46	532.3452459492563	7.319717361538459
47	710.3180236816406	4.110870950000001
48	557.3194783541667	5.370435433333333
49	530.3585342453246	8.252529576666666
50	596.3093867591051	7.415117024999998
51	462.2341093933498	2.9424680185714287
52	379.0996967328766	2.7962723316666662
53	443.0480254294226	0.6740633073239436
54	168.10201925543515	1.4140426265060235
55	757.1968303881139	3.309684719047618
56	172.1696154071764	5.049340366101695
57	343.33193994559934	8.007116137398375
58	438.36903635739145	3.460182330555556
59	273.08194864293176	0.6215032314942531
60	122.61606521606446	1.6742812399999998
61	648.2647094726562	3.3613571
62	575.2598302564913	2.117789564705882
63	405.26268157958987	5.83991352
64	534.3561975566572	7.7925446423728815
65	464.321758195516	3.785703503921568
66	654.3326604213338	9.344389008333334
67	192.0554935417959	0.6031894532989692
68	383.242602454449	6.20656543888889
69	448.3052736928712	4.798482108333333
70	533.3845733660888	9.84061858
71	182.081216062684	2.384231392622952
72	445.35356022952976	4.121448792307692
73	490.3751613108608	4.142185442857143
74	225.07560668991692	3.960327567999999
75	295.12864109740013	2.334520652459016
76	345.1181335449219	3.384189733333333
77	409.14759521623535	3.41016793
78	314.09098752434795	1.4313475249999998
79	405.1275146484375	2.09125558
80	513.2671485361891	3.989856142307692
81	531.284901338465	3.929020294117647
82	261.1936950683594	4.4821964
83	466.2648266313557	4.374498611864407
84	165.0546595637629	4.090128267647058
85	285.03941781204657	3.3074233285714283
86	430.12835693359375	2.1518474
87	192.05115661672363	3.81331506
88	489.23132705731206	3.3757012708333343
89	564.206079339318	2.864502719230769
90	291.1812265919864	2.503378068656716
91	323.1389030459351	3.7070584049999993
92	336.086722056427	6.329043658333334
93	558.3060989379883	7.4443873
94	317.2091084037714	7.666409471681415
95	652.4109089335738	3.370771919672133
96	620.4364826621792	7.818587784873951
97	611.4671923206844	10.759175549295772
98	529.3739471497069	3.58787816
99	764.529778134685	10.84127724719101
100	261.1599319460083	2.8713669
