CLUSTERID1	CLUSTERID2	ComponentIndex	Cosine	DeltaMZ
2951	5285	9	0.9644	0.000
2951	5361	9	0.95	-0.000
4678	5285	9	0.9106	26.016
4977	5285	9	0.9502	0.000
5285	5361	9	0.9628	-0.000
835	5285	9	0.976	0.000
1845	5285	9	0.9784	0.000
2600	5285	9	0.9602	0.000
3087	5285	9	0.9192	0.000
1465	2573	9	0.9272	-0.000
1972	2573	9	0.9426	-0.000
2573	4553	9	0.8763	18.011
2573	5420	9	0.8715	-18.011
1816	4678	9	0.8739	80.026
4553	4678	9	0.9186	-0.000
4678	5361	9	0.8782	26.016
1845	4678	9	0.8988	-26.016
1944	2200	9	0.8947	-0.000
1944	2242	9	0.8904	0.000
1944	2923	9	0.8977	-0.000
968	1413	9	0.8793	-45.058
1350	1413	9	0.9042	-0.000
1413	4306	9	0.8636	-86.000
3434	3772	9	0.9333	-0.000
1585	3434	9	0.9027	0.000
1943	3434	9	0.9463	0.000
968	1350	9	0.9173	-45.058
1350	4306	9	0.8677	-86.000
2242	2923	9	0.9392	-0.000
2242	4379	9	0.8952	-369.090
877	2880	9	0.926	-0.000
877	3278	9	0.9184	0.000
877	5177	9	0.8815	-377.153
4553	4977	9	0.8949	26.016
1465	4553	9	0.877	18.010
1972	4553	9	0.8711	18.010
1585	1943	9	0.8912	-0.000
1585	2880	9	0.8819	2.016
1585	3772	9	0.9325	0.000
638	1465	9	0.8757	-2.015
638	1972	9	0.8775	-2.015
4379	5001	9	0.9154	172.000
1465	5420	9	0.8822	-18.011
1972	5420	9	0.8768	-18.011
5148	5538	9	0.9232	86.000
1507	5148	9	0.8996	86.000
1652	5148	9	0.9003	-40.942
2200	5148	9	0.8657	-266.063
835	2923	9	0.8882	-18.011
2600	2923	9	0.8849	-18.011
835	3087	9	0.9189	0.000
1845	3087	9	0.9182	0.000
2600	3087	9	0.9141	0.000
3087	4977	9	0.8962	0.000
3087	5361	9	0.9105	0.000
2200	3139	9	0.8858	0.000
2200	4156	9	0.8703	2.016
1943	3772	9	0.9339	0.000
1652	5538	9	0.9154	45.058
1465	1972	9	0.9328	0.000
2880	3278	9	0.9396	0.000
2880	5177	9	0.9071	-377.153
2880	5595	9	0.8807	-463.152
503	1465	9	0.8662	0.000
835	1845	9	0.9697	0.000
1845	2600	9	0.9571	0.000
1845	4977	9	0.9358	0.000
1845	5361	9	0.9556	0.000
1810	2805	9	0.8786	0.000
1810	4156	9	0.8634	-0.000
1810	5352	9	0.8791	0.000
968	5664	9	0.892	-67.990
4977	5361	9	0.9242	0.000
835	5361	9	0.9676	0.000
2600	5361	9	0.9438	0.000
835	2600	9	0.9611	0.000
2600	4977	9	0.9242	0.000
4156	5664	9	0.8847	-248.053
5352	5664	9	0.8688	-248.054
1986	5664	9	0.8629	-248.054
2805	5664	9	0.8763	-248.053
4156	5352	9	0.9402	0.000
1986	4156	9	0.9501	-0.000
2805	4156	9	0.9351	-0.000
1986	2805	9	0.9036	-0.000
2805	5352	9	0.9779	0.000
2262	3454	9	0.8731	35.037
1986	5352	9	0.903	0.000
3278	5177	9	0.8827	-377.153
2262	5177	9	0.9317	-76.052
2262	5595	9	0.9117	-162.052
5177	5595	9	0.9216	-85.999
835	4977	9	0.9279	0.000
4205	4524	10	0.824	-27.995
4524	4905	10	0.972	18.011
1118	4524	10	0.7247	-13.979
3333	4524	10	0.9463	0.000
4024	4635	10	0.7286	12.000
4205	4635	10	0.7045	-15.995
1775	4635	10	0.8322	14.016
2874	4635	10	0.7585	14.016
4633	4905	10	0.8074	15.995
1514	4633	10	0.7122	-27.958
1781	4633	10	0.7534	-13.979
3607	4905	10	0.7836	-11.963
4205	4905	10	0.7351	-9.984
1514	4905	10	0.7797	-11.963
1781	4905	10	0.806	2.016
3333	4905	10	0.9404	18.011
3607	4205	10	0.7058	-1.979
1118	4205	10	0.7894	14.016
1514	4205	10	0.701	-1.979
3333	4205	10	0.8354	27.995
1118	1775	10	0.7139	-15.995
1118	3333	10	0.7402	-13.979
332	5411	10	0.7363	-28.031
532	5411	10	0.8486	33.985
591	5411	10	0.9167	-14.016
3333	5411	10	0.7236	62.052
1775	4024	10	0.7405	2.016
2874	4024	10	0.7894	2.016
1775	2874	10	0.7867	-0.000
393	591	10	0.7027	-28.979
532	591	10	0.8608	48.001
1514	3607	10	0.8232	-0.000
95	915	11	0.8371	-44.026
915	2161	11	0.7426	111.964
915	3724	11	0.8423	88.052
1086	2846	11	0.9129	44.026
1321	2846	11	0.8834	88.053
1804	2846	11	0.7706	132.079
2846	3063	11	0.9143	28.031
1984	2048	11	0.8011	132.079
3660	3704	11	0.8841	281.184
3704	3724	11	0.8912	-325.210
95	3704	11	0.8355	369.236
108	3704	11	0.9523	44.026
1617	3704	11	0.8211	-71.025
1728	3704	11	0.8749	237.158
3063	3704	11	0.8538	-27.000
3083	3704	11	0.8801	193.132
309	1225	11	0.7712	-132.085
882	1225	11	0.7606	-15.121
1225	3018	11	0.7516	-44.028
95	1728	11	0.85	132.078
108	1728	11	0.8677	-193.132
1617	1728	11	0.8014	-308.183
1728	3063	11	0.8503	264.157
1728	3083	11	0.9279	44.026
1728	3660	11	0.9389	-44.026
1728	3724	11	0.926	-88.052
3406	3465	11	0.8716	-44.026
3465	3600	11	0.8268	220.131
3465	3790	11	0.9012	-44.026
3465	4029	11	0.8749	-88.051
3465	4274	11	0.8639	-132.078
3465	4313	11	0.8918	88.052
2337	3465	11	0.8567	-105.079
120	2883	11	0.8693	-61.054
805	2883	11	0.855	-15.995
873	2883	11	0.8779	28.030
2883	2948	11	0.8559	44.026
2883	3422	11	0.8123	88.052
1480	1798	11	0.7465	-44.026
1737	1798	11	0.7431	-88.052
1798	1935	11	0.7607	176.104
120	805	11	0.8956	-45.059
805	873	11	0.8374	-44.025
805	936	11	0.808	-132.078
805	1070	11	0.7955	-88.052
805	2948	11	0.9008	28.031
805	3035	11	0.8449	252.282
805	3422	11	0.8122	72.057
120	214	11	0.8436	0.001
214	275	11	0.9142	-28.032
214	340	11	0.8614	44.026
214	407	11	0.8849	88.052
214	650	11	0.8356	-116.085
214	720	11	0.8679	104.046
214	897	11	0.8755	132.077
214	1031	11	0.9126	-44.026
214	1449	11	0.841	-88.051
214	1852	11	0.8606	60.020
1494	1935	11	0.8474	-44.026
1540	1935	11	0.8332	44.026
1737	1935	11	0.8038	88.052
3660	3724	11	0.9395	-44.026
95	3724	11	0.8915	44.026
108	3724	11	0.879	-281.184
650	3724	11	0.8415	472.412
3083	3724	11	0.9191	-132.078
650	1593	11	0.8576	-88.051
1274	1593	11	0.8248	-44.026
1449	1593	11	0.8261	-116.084
1593	1651	11	0.8474	72.057
407	1984	11	0.858	60.020
897	1984	11	0.8686	15.995
1385	1984	11	0.8405	-28.032
1777	1984	11	0.8581	-88.053
1914	1984	11	0.8298	-44.026
120	407	11	0.8628	88.053
275	407	11	0.9113	116.084
340	407	11	0.927	44.026
407	471	11	0.9009	-72.058
407	720	11	0.9307	15.994
407	897	11	0.9125	44.025
407	1031	11	0.9076	-132.079
407	1852	11	0.873	-28.032
1480	1540	11	0.7452	88.052
1480	2255	11	0.7663	-132.078
936	3151	11	0.8485	-15.995
999	3151	11	0.8381	28.032
1070	3151	11	0.8215	-60.021
1097	3151	11	0.7966	-4.119
1296	3151	11	0.8826	-88.052
2819	3151	11	0.8396	-44.026
3151	3290	11	0.8427	-44.024
3290	3545	11	0.7865	-88.054
3366	3545	11	0.7426	-44.026
3600	4313	11	0.8539	-132.080
3600	4335	11	0.8789	17.026
24	3600	11	0.8824	27.000
3035	3600	11	0.8625	88.053
3156	3600	11	0.8704	44.026
275	650	11	0.8599	-88.053
585	650	11	0.8621	-44.026
650	720	11	0.8418	220.131
650	1031	11	0.874	72.058
650	1274	11	0.901	-44.025
650	1449	11	0.8884	28.033
650	1651	11	0.8732	-15.994
963	3035	11	0.8819	-17.027
2948	3035	11	0.8485	224.250
3035	3156	11	0.8785	44.027
3035	3406	11	0.8549	-88.052
3035	3790	11	0.8487	-176.104
3035	4274	11	0.8436	-264.157
3035	4313	11	0.898	-44.026
1408	3332	11	0.7481	27.972
120	471	11	0.8415	15.995
120	720	11	0.8637	104.047
120	897	11	0.851	132.078
120	2948	11	0.8768	-17.028
360	1214	11	0.8237	-132.079
1097	1214	11	0.8172	-44.026
1214	1990	11	0.775	-44.026
95	3660	11	0.8654	88.052
108	3660	11	0.8727	-237.158
309	3660	11	0.8052	533.458
3063	3660	11	0.844	-308.184
3083	3660	11	0.9427	-88.052
1086	1804	11	0.7931	-88.053
1321	1804	11	0.785	-44.026
24	2337	11	0.8907	-88.052
774	2337	11	0.8726	44.027
963	2337	11	0.894	-44.026
2337	3156	11	0.8675	71.026
2337	3406	11	0.8762	-61.053
2337	3790	11	0.8652	-149.106
2337	4274	11	0.8625	-237.158
2337	4313	11	0.897	-17.028
2337	4335	11	0.8853	132.078
1540	2255	11	0.7525	-220.131
2123	2255	11	0.7435	-44.026
275	340	11	0.9306	72.058
340	471	11	0.9116	-28.031
340	720	11	0.9176	60.020
340	897	11	0.8903	88.051
340	1031	11	0.915	-88.052
340	1852	11	0.8645	15.994
873	2948	11	0.8252	72.056
95	3083	11	0.8283	176.104
108	3083	11	0.8883	-149.106
1617	3083	11	0.845	-264.157
3063	3083	11	0.8897	-220.131
299	2123	11	0.7544	48.146
3406	3790	11	0.8712	-88.053
3790	4029	11	0.8914	-44.025
3790	4274	11	0.8881	-88.052
3790	4313	11	0.8762	132.078
24	3790	11	0.8459	-237.158
963	3790	11	0.8468	-193.131
3156	3790	11	0.8554	-220.131
1086	1321	11	0.9101	-44.027
936	3290	11	0.8189	-60.019
999	3290	11	0.7971	-15.992
1070	3290	11	0.8086	-104.045
1296	3290	11	0.8519	-132.076
2819	3290	11	0.8477	-88.050
3018	3290	11	0.7551	72.060
936	2819	11	0.8912	28.031
999	2819	11	0.7904	72.059
1070	2819	11	0.8472	-15.995
1296	2819	11	0.8828	-44.026
3406	4029	11	0.8657	-132.078
3406	4274	11	0.8674	-176.105
3406	4313	11	0.8903	44.025
3406	4335	11	0.8584	193.131
963	3406	11	0.8663	-105.079
3156	3406	11	0.8658	-132.079
1296	2948	11	0.8142	88.052
2948	3084	11	0.8122	15.995
2948	3422	11	0.8175	44.026
360	802	11	0.8402	-44.026
360	1097	11	0.81	-88.053
360	1494	11	0.8047	-193.132
360	4274	11	0.8635	44.026
24	774	11	0.8393	-132.079
24	963	11	0.8929	-44.026
24	3156	11	0.8478	-17.026
24	4335	11	0.9003	44.026
1494	1540	11	0.8038	-88.052
1540	1737	11	0.808	-44.027
1385	1914	11	0.8127	15.994
1777	1914	11	0.8139	-44.027
1617	3063	11	0.9386	-44.026
1617	3332	11	0.9013	-168.187
3018	3366	11	0.7794	28.032
275	720	11	0.9286	132.078
471	720	11	0.9037	88.052
720	897	11	0.9159	28.031
720	1031	11	0.9173	-148.073
720	1852	11	0.8604	-44.026
972	1777	11	0.7982	-28.032
471	585	11	0.822	-88.053
585	1031	11	0.8781	28.032
585	1274	11	0.82	-88.052
585	1449	11	0.8565	-15.993
585	1651	11	0.816	-60.020
1274	1449	11	0.8577	72.059
1274	1651	11	0.8339	28.032
275	1449	11	0.858	-60.019
471	1449	11	0.8285	-104.046
1031	1449	11	0.8601	-44.025
1449	1651	11	0.8416	-44.027
963	3156	11	0.8733	27.000
3156	4274	11	0.8434	-308.184
3156	4313	11	0.8983	-88.053
3156	4335	11	0.8569	61.053
4029	4313	11	0.8587	176.103
4274	4313	11	0.8627	220.130
963	4313	11	0.8731	-61.053
299	422	11	0.7504	-44.027
422	1737	11	0.748	224.251
95	2716	11	0.77	23.911
2161	2716	11	0.7755	-44.026
1385	1777	11	0.8001	60.021
95	2161	11	0.7606	67.938
802	936	11	0.8132	-32.151
802	1097	11	0.838	-44.027
802	1494	11	0.7936	-149.106
108	3063	11	0.8343	71.026
3084	3422	11	0.8379	28.031
108	882	11	0.7715	-887.579
882	1494	11	0.8002	-44.026
275	471	11	0.9147	44.027
471	897	11	0.8855	116.083
471	1031	11	0.9091	-60.021
471	1852	11	0.8675	44.026
4029	4274	11	0.9116	-44.027
963	4274	11	0.8487	-281.184
936	999	11	0.8154	-44.027
999	1070	11	0.8045	88.053
275	1852	11	0.868	88.052
897	1852	11	0.8752	-72.057
936	1070	11	0.8795	44.026
1070	1097	11	0.7954	-55.902
1070	1296	11	0.9141	28.031
936	1296	11	0.8811	72.057
1097	1296	11	0.798	83.933
774	4335	11	0.8319	176.105
275	897	11	0.9002	160.109
897	1031	11	0.8903	-176.104
275	1031	11	0.8677	-15.994
963	4029	11	0.8487	-237.157
936	1097	11	0.8311	-11.876
963	4335	11	0.8692	88.053
2498	4191	12	0.9041	14.016
2498	4771	12	0.8773	42.047
4191	4771	12	0.8705	28.031
3149	3679	13	0.9345	-15.996
3989	5468	14	0.8292	146.058
4646	5468	14	0.8541	139.100
3320	5468	14	0.8489	125.085
2740	3320	14	0.8069	208.058
3320	3756	14	0.847	-46.005
3320	3989	14	0.8194	-20.973
3320	4568	14	0.8396	-56.026
3320	4646	14	0.8728	-14.016
3989	4568	14	0.8109	-35.053
3989	4646	14	0.8225	6.957
1901	2740	14	0.8372	14.015
2740	3756	14	0.8043	162.053
2740	4646	14	0.8064	194.042
4568	4646	14	0.8429	42.010
933	2778	15	0.8645	-36.021
99	1322	15	0.8902	-28.033
99	4219	15	0.8709	-162.053
