CLUSTERID1	CLUSTERID2	DeltaMZ	MinRatio	Cosine	AlignScore2	AlignScore3
3409	4165	5.989	0.000	0.7479	0.6850	1
3409	4168	-36.073	0.000	0.7055	0.5542	1
3409	4171	-69.094	0.000	0.7204	0.7195	1
3409	4177	-70.078	0.000	0.7838	0.6206	1
3409	4196	-60.058	0.000	0.8282	0.8181	1
3409	4225	2.016	0.000	0.7793	0.6031	1
3409	4245	6.047	0.000	0.7018	0.7381	1
3409	4282	11.964	0.000	0.7090	0.4966	1
3409	4286	4.031	0.000	0.8177	0.7710	1
3409	4367	-70.078	0.000	0.7654	0.7459	1
3409	4457	-11.963	0.000	0.8289	0.8330	1
3409	4504	-72.094	0.000	0.7082	0.5976	1
3409	4510	-44.063	0.000	0.7293	0.7590	1
3409	4514	-197.090	0.000	0.7041	0.3795	1
3409	4527	-42.047	0.000	0.8238	0.8503	1
3409	4544	-11.964	0.000	0.7145	0.5699	1
3409	4577	-120.115	0.000	0.7131	0.6099	1
3409	4597	13.979	0.000	0.8151	0.6558	1
3409	4661	-11.964	0.000	0.7315	0.6557	1
3409	4743	26.016	0.000	0.7911	0.8440	1
3409	4764	-50.000	0.000	0.8066	0.7709	1
3409	4827	2.016	0.000	0.8646	0.6780	1
3409	4845	-15.995	0.000	0.7092	0.5256	1
3409	4859	-298.215	0.000	0.7047	0.6780	1
3409	4878	-28.068	0.000	0.7596	0.6707	1
3409	4889	-58.042	0.000	0.8033	0.8010	1
3409	4974	-142.115	0.000	0.7616	0.6846	1
3409	5049	54.010	0.000	0.7548	0.4992	1
3409	5071	80.026	0.000	0.7306	0.5216	1
3409	5112	-72.095	0.000	0.7305	0.6653	1
3409	5131	1.979	0.000	0.7033	0.5992	1
3409	5191	24.036	0.000	0.7467	0.6184	1
3409	5277	-45.094	0.000	0.7016	0.6658	1
3409	5420	-4.031	0.000	0.7765	0.5885	1
3409	5449	-134.183	0.000	0.7479	0.6554	1
3409	5465	-264.208	0.000	0.7090	0.7071	1
3409	5479	80.026	0.000	0.7026	0.5239	1
3409	5480	-121.020	0.000	0.7762	0.6277	1
3409	5489	-47.985	0.000	0.7938	0.8008	1
3409	5536	24.036	0.000	0.7048	0.5164	1
3409	5583	-341.257	0.000	0.7167	0.6540	1
3409	5587	-16.032	0.000	0.7016	0.5506	1
3409	5622	-102.104	0.000	0.7168	0.6042	1
3409	5624	-54.083	0.000	0.7556	0.5984	1
3410	3526	-44.026	0.000	0.7418	0.7177	1
3410	3624	-179.079	0.000	0.7878	0.6646	1
3410	3648	18.011	0.000	0.7380	0.6357	1
3410	3673	14.964	0.000	0.7094	0.6647	1
3410	3743	74.037	0.000	0.7866	0.7155	1
3410	3916	-59.110	0.000	0.7107	0.6902	1
3410	3996	-179.079	0.000	0.7321	0.6962	1
3410	4165	68.063	0.000	0.7349	0.7085	1
3410	4196	2.016	0.000	0.8293	0.6607	1
3410	4261	-53.047	0.000	0.7058	0.7105	1
3410	4367	-8.005	0.000	0.7007	0.6166	1
3410	4421	-54.032	0.000	0.7453	0.6187	1
3410	4430	0.000	0.000	0.7362	0.5863	1
3410	4504	-10.020	0.000	0.7165	0.6602	1
3410	4510	18.011	0.000	0.7432	0.7436	1
3410	4527	20.026	0.000	0.7836	0.7249	1
3410	4562	-106.115	0.000	0.7134	0.7286	1
3410	4737	42.011	0.000	0.7170	0.5656	1
3410	4878	34.006	0.000	0.7830	0.7461	1
3410	4889	4.032	0.000	0.7511	0.6588	1
3410	5049	116.084	0.000	0.7150	0.5378	1
3410	5112	-10.021	0.000	0.7804	0.7395	1
3410	5268	18.011	0.000	0.7635	0.6848	1
3410	5520	46.076	0.000	0.7008	0.6365	1
3410	5551	60.091	0.000	0.7088	0.6631	1
3410	5582	-1.942	0.000	0.7721	0.7560	1
3410	5661	20.115	0.000	0.7183	0.7563	1
3411	3574	-14.016	0.000	0.7938	0.6907	1
3411	4301	191.188	0.000	0.8024	0.7160	1
3412	3941	2.015	0.000	0.8133	0.5615	1
3412	3956	109.163	0.000	0.8160	0.4480	1
3412	4788	151.230	0.000	0.7072	0.3576	1
3412	4861	-0.000	0.000	1.0000	1.0000	1
3412	4966	-48.073	0.000	0.7302	0.4532	1
3412	5158	30.010	0.000	0.8136	0.5616	1
3412	5629	-14.016	0.000	0.8459	0.6235	1
3414	3671	-40.031	0.000	0.7207	0.6171	1
3414	3735	-162.053	0.000	0.8759	0.7476	1
3414	3739	15.995	0.000	0.7427	0.6027	1
3414	3882	2.015	0.000	0.7697	0.7285	1
3414	4826	15.995	0.000	0.7214	0.5268	1
3414	5024	86.001	0.000	0.8322	0.7281	1
3414	5431	86.001	0.000	0.8219	0.6693	1
3415	3728	10.008	0.000	0.9109	0.7564	1
3415	3926	-15.994	0.000	0.9722	0.8511	1
3415	4012	161.085	0.000	0.7646	0.5714	1
3415	4036	161.085	0.000	0.7646	0.5714	1
3415	4158	5.954	0.000	0.9335	0.7789	1
3415	4195	62.019	0.000	0.8516	0.6109	1
3415	4217	-14.015	0.000	0.9291	0.8231	1
3415	4373	33.986	0.000	0.9182	0.7229	1
3415	4423	104.027	0.000	0.7804	0.6766	1
3415	4477	15.047	0.000	0.7622	0.5524	1
3415	4496	19.970	0.000	0.9125	0.7814	1
3415	4659	-53.026	0.000	0.8516	0.6687	1
3415	4786	-42.010	0.000	0.7990	0.7272	1
3415	4814	7.969	0.000	0.8993	0.7727	1
3415	4948	146.037	0.000	0.7838	0.6740	1
3415	5118	-15.996	0.000	0.9695	0.8150	1
3415	5291	161.085	0.000	0.7646	0.5714	1
3417	3484	75.992	0.000	0.7848	0.5402	1
3417	3637	24.000	0.000	0.8182	0.5176	1
3417	3682	246.256	0.000	0.8556	0.5978	1
3417	3761	17.914	0.000	0.7489	0.5013	1
3417	3802	9.984	0.000	0.8505	0.6174	1
3417	3955	-2.054	0.000	0.8612	0.6626	1
3417	4019	3.898	0.000	0.7688	0.5180	1
3417	4083	66.010	0.000	0.8767	0.7012	1
3417	4142	23.963	0.000	0.8784	0.6626	1
3417	4185	-4.031	0.000	0.8570	0.6174	1
3417	4532	246.256	0.000	0.7981	0.5231	1
3417	4664	-0.000	0.000	1.0000	1.0000	1
3417	5061	-21.984	0.000	0.8533	0.5918	1
3417	5358	37.978	0.000	0.8445	0.5633	1
3417	5471	59.961	0.000	0.7672	0.4933	1
3417	5558	-2.016	0.000	0.8375	0.5622	1
3418	4281	-0.000	0.000	0.7376	0.6043	1
3418	5617	-141.019	0.000	0.7476	0.6425	1
3418	5622	0.000	0.000	0.7153	0.4585	1
3420	3501	-35.927	0.000	0.7035	0.4738	1
3420	3584	52.123	0.000	0.8177	0.4586	1
3420	3679	-86.001	0.000	0.8552	0.4921	1
3420	4087	24.092	0.000	0.7307	0.3819	1
3420	4572	119.024	0.000	0.7585	0.4288	1
3420	4697	-86.072	0.000	0.8729	0.5978	1
3420	5150	-2.017	0.000	0.9315	0.6843	1
3420	5178	211.071	0.000	0.7361	0.3968	1
