"feature_id_full","feature_id","feature_mz","feature_rt","biodynamique_vs_conventional purely mineral fertilization_p_value","biodynamique_vs_conventional purely mineral fertilization_p_value_minus_log10","biodynamique_vs_conventional purely mineral fertilization_fold_change","biodynamique_vs_conventional purely mineral fertilization_fold_change_log2","canopus_npc_pathway","canopus_npc_superclass","canopus_npc_class","sirius_name","gnps_smiles","met_annot_structure_smiles","sirius_smiles","gnps_inchi","gnps_inchi_aux","gnps_inchikey","gnps_inchikey_planar","met_annot_short_inchikey","met_annot_structure_inchi","met_annot_structure_inchikey","sirius_inchi","sirius_inchikey2d"
"3281_298.1_2",3281,298.096773458054,2.00355502564102,0.00116160119249688,2.93494295079812,0.6436360857141,-0.635682881285062,"Carbohydrates","Nucleosides","Purine nucleos(t)ides","Vitamin L2","CSC[C@@H]1[C@H]([C@H]([C@H](N2C=NC3=C2N=CN=C3N)O1)O)O",NA,"CSCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)O","\"\"InChI=1S/C11H15N5O3S/c1-20-2-5-7(17)8(18)11(19-5)16-4-15-6-9(12)13-3-14-10(6)16/h3-5,7-8,11,17-18H,2H2,1H3,(H2,12,13,14)/t5-,7-,8-,11-/m1/s1\"\"",NA,"WUUGFSXJNOTRMR-IOSLPCCCSA-N","WUUGFSXJNOTRMR",NA,NA,NA,"InChI=1S/C11H15N5O3S/c1-20-2-5-7(17)8(18)11(19-5)16-4-15-6-9(12)13-3-14-10(6)16/h3-5,7-8,11,17-18H,2H2,1H3,(H2,12,13,14)","WUUGFSXJNOTRMR"
"1419_166.09_1.6",1419,166.08626568802,1.59091724796748,0.00390839995837821,2.40800100001244,1.49436437376197,0.57953196614951,"Amino acids and Peptides","Small peptides","Aminoacids","Sabiden","C1=CC=C(C=C1)C[C@@H](C(=O)O)N",NA,"C1=CC=C(C=C1)CC(C(=O)O)N","\"\"InChI=1S/C9H11NO2/c10-8(9(11)12)6-7-4-2-1-3-5-7/h1-5,8H,6,10H2,(H,11,12)/t8-/m0/s1\"\"",NA,"COLNVLDHVKWLRT-QMMMGPOBSA-N","COLNVLDHVKWLRT",NA,NA,NA,"InChI=1S/C9H11NO2/c10-8(9(11)12)6-7-4-2-1-3-5-7/h1-5,8H,6,10H2,(H,11,12)","COLNVLDHVKWLRT"
"5505_162.08_0.7",5505,162.076083362611,0.671241172845529,0.016396420904055,1.78525094166304,1.47069461951364,0.556497711140001,"Amino acids and Peptides","Small peptides","Aminoacids","AmbotzHAA8500",NA,"COC(=O)C(N)CCC(=O)O","C(CC(=O)O)C(CC(=O)O)N",NA,NA,NA,NA,"SEWIYICDCVPBEW","InChI=1S/C6H11NO4/c1-11-6(10)4(7)2-3-5(8)9/h4H,2-3,7H2,1H3,(H,8,9)","SEWIYICDCVPBEW-UHFFFAOYSA-N","InChI=1S/C6H11NO4/c7-4(3-6(10)11)1-2-5(8)9/h4H,1-3,7H2,(H,8,9)(H,10,11)","XABCFXXGZPWJQP"
"3730_278.25_8.2",3730,278.247827148691,8.1834970625,0.0295040171979275,1.53011884747561,0.688677698640766,-0.538099135704757,"Fatty acids","Fatty amides","Primary amides","Linolenamide",NA,"CCCC/C=C/C=C/C=C/[C@H]1CC[C@@H](OC)[C@@H](C)N1C","CCC=CCC=CCC=CCCCCCCCC(=O)N",NA,NA,NA,NA,"YIOUPFBHICGXGU","InChI=1S/C18H31NO/c1-5-6-7-8-9-10-11-12-13-17-14-15-18(20-4)16(2)19(17)3/h8-13,16-18H,5-7,14-15H2,1-4H3/b9-8+,11-10+,13-12+/t16-,17+,18-/m1/s1","YIOUPFBHICGXGU-VLXASLQNSA-N","InChI=1S/C18H31NO/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18(19)20/h3-4,6-7,9-10H,2,5,8,11-17H2,1H3,(H2,19,20)","NHUOWASJBBPFMB"
"3360_226.18_4.8",3360,226.180165267592,4.84503849268293,0.0303297782175908,1.5181307653975,0.709821663373229,-0.494471489544295,"Fatty acids","Fatty amides","Primary amides","acylglycine C:11",NA,NA,"CCCCCCCCCCC(=O)NCC(=O)O",NA,NA,NA,NA,NA,NA,NA,"InChI=1S/C13H25NO3/c1-2-3-4-5-6-7-8-9-10-12(15)14-11-13(16)17/h2-11H2,1H3,(H,14,15)(H,16,17)","HEUQYIQQCNOXOG"
"1514_326.23_4.5",1514,326.232459641309,4.45305856,0.0375499689990495,1.42539041720967,1.40807416093895,0.493723320339744,"Amino acids and Peptides","Small peptides","Open-chain polyketides","null",NA,NA,"CCC=CCC1C(CCC1O)CC(=O)NC(C(C)CC)C(=O)O",NA,NA,NA,NA,NA,NA,NA,"InChI=1S/C18H31NO4/c1-4-6-7-8-14-13(9-10-15(14)20)11-16(21)19-17(18(22)23)12(3)5-2/h6-7,12-15,17,20H,4-5,8-11H2,1-3H3,(H,19,21)(H,22,23)","SJUZAQZEDDCWNC"
"108_327.2_2.5",108,327.201207230802,2.48347954065041,0.0420252593443755,1.3764895977818,1.39076347073502,0.475877079395938,"Fatty acids","Glycerolipids","Monoacylglycerols","Epitope ID:161055",NA,NA,"C(COCCOCCOCCOCCOCCOCCO)O",NA,NA,NA,NA,"XPJRQAIZZQMSCM","nan","nan","InChI=1S/C14H30O8/c15-1-3-17-5-7-19-9-11-21-13-14-22-12-10-20-8-6-18-4-2-16/h15-16H,1-14H2","XPJRQAIZZQMSCM"
