"Row.names","al_uuid","al_vol_microliter","cohort","cohort_ott_id","crop","domain","domain_ott_id","ex_batch_id","ex_dried_weight","ex_solv_vol_micro","ex_uuid","extr_meth","filename","flags","free_text","fs_user_created","fs_uuid","inat_captive","inat_comments","inat_community_taxon_id","inat_created_time_zone","inat_description","inat_emi_external_id","inat_faves","inat_faves_count","inat_geojson_coordinates","inat_geojson_type","inat_id","inat_ident_taxon_ids","inat_identifications","inat_identifications_count","inat_identifications_most_agree","inat_identifications_most_disagree","inat_identifications_some_agree","inat_location","inat_map_scale","inat_num_identification_agreements","inat_observed_time_zone","inat_outlinks","inat_photo_url","inat_photos","inat_place_guess","inat_project_ids","inat_project_ids_without_curator_id","inat_project_observations","inat_quality_grade","inat_site_id","inat_species_guess","inat_taxon_ancestor_ids","inat_taxon_ancestry","inat_taxon_atlas_id","inat_taxon_complete_rank","inat_taxon_complete_species_count","inat_taxon_conservation_status_authority","inat_taxon_conservation_status_id","inat_taxon_conservation_status_iucn","inat_taxon_conservation_status_source_id","inat_taxon_conservation_status_user_id","inat_taxon_current_synonymous_taxon_ids","inat_taxon_default_photo_flags","inat_taxon_default_photo_id","inat_taxon_default_photo_medium_url","inat_taxon_default_photo_square_url","inat_taxon_default_photo_url","inat_taxon_endemic","inat_taxon_extinct","inat_taxon_iconic_taxon_id","inat_taxon_iconic_taxon_name","inat_taxon_id","inat_taxon_introduced","inat_taxon_is_active","inat_taxon_min_species_ancestry","inat_taxon_min_species_taxon_id","inat_taxon_native","inat_taxon_observations_count","inat_taxon_parent_id","inat_taxon_preferred_common_name","inat_taxon_rank","inat_taxon_rank_level","inat_taxon_threatened","inat_taxon_universal_search_rank","inat_taxon_wikipedia_url","inat_uri","inat_user_activity_count","inat_user_id","inat_user_identifications_count","inat_user_journal_posts_count","inat_user_login","inat_user_name","inat_user_observations_count","inat_user_roles","inat_user_species_count","inat_user_universal_search_rank","inat_uuid","inat_votes","infraclass","infraclass_ott_id","is_approximate_match","is_synonym","lab_extract","matched_name","method","ms_id","ms_inj_vol","ms_injection_volume","ms_uuid","no_rank","no_rank_ott_id","nomenclature_code","obvious_unique_macroscopic_specimen","organ","organism_otol_class","organism_otol_class_ott_id","organism_otol_family","organism_otol_family_ott_id","organism_otol_genus","organism_otol_genus_ott_id","organism_otol_kingdom","organism_otol_kingdom_ott_id","organism_otol_order","organism_otol_order_ott_id","organism_otol_phylum","organism_otol_phylum_ott_id","organism_otol_species","organism_otol_species_ott_id","organism_otol_unique_name","ott_id","plot","qf_comment_eco","qf_comment_env","qf_herbivory_percent","qf_ipen","qf_latitude","qf_longitude","qf_sample_name","qf_soil_type","qf_temperature_celsius","qf_weather","rank","sample_id","sample_type","score","search_string","section","section_ott_id","source_id","source_taxon","source_taxon_qid","subclass","subclass_ott_id","subfamily","subfamily_ott_id","subgenus","subgenus_ott_id","suborder","suborder_ott_id","subphylum","subphylum_ott_id","subtribe","subtribe_ott_id","superfamily","superfamily_ott_id","superorder","superorder_ott_id","taxon_flags","taxon_is_suppressed","taxon_is_suppressed_from_synth","taxon_name","taxon_ott_id","taxon_rank","taxon_search_string","taxon_source","taxon_synonyms","taxon_tax_sources","taxon_unique_name","tribe","tribe_ott_id","1065","107","1075","1079","108","1182","1208","1215","1226","125","1311","1333","1334","138","1384","1419","1514","1543","1577","1590","1612","1614","1642","1655","1686","1690","173","1732","1793","1811","1812","1841","1843","1896","1932","1936","1940","1966","1982","2002","2008","2054","2069","2124","2145","2158","2168","2187","219","2191","2197","2241","2245","2248","2257","229","2293","2343","2367","238","2386","240","2417","2458","2476","2489","249","2507","2555","2567","2574","2602","2612","2625","2644","2668","2678","2721","2737","276","2797","2826","2882","2905","2928","2936","294","2958","2963","2965","297","2974","2992","3013","3019","3065","3072","3073","3103","3152","3187","3194","3197","3241","3250","3259","3281","3307","3313","3317","3355","3360","3371","3375","3400","3405","3425","3490","3517","3533","3535","3585","3622","3649","3650","3658","3659","366","3666","3673","3685","3690","3704","3716","3730","3731","3768","3770","3791","3891","390","3916","3940","3948","3973","3994","3997","4031","4037","4038","4055","4139","4164","4200","421","4233","4254","4285","43","430","4300","4312","4329","4330","4368","4394","4411","4437","4445","446","4473","449","4498","4499","450","4547","4556","4560","4594","4605","4631","4638","467","4671","4694","4705","4712","4766","4773","4775","4791","480","4805","4809","4816","4822","4829","4873","4895","4924","4960","497","4989","5002","5015","5044","5053","5062","5090","5146","5158","5167","5172","5178","5190","5195","5196","5211","523","5240","5248","5269","5273","5277","5292","5297","5298","5311","5315","5319","5380","5391","540","5412","5414","5434","5442","5466","5471","5505","5517","5561","5570","56","5602","5622","5631","5641","5660","587","602","607","628","662","727","765","767","786","807","814","819","863","868","881","911","928","937","961","982"
"202405171439_HC_fibl_000005_01_01.mzML","d3535a4b-e5a9-4f11-a830-7f0009b51ce7","120","ND","ND","montalbano","ND","ND","dbgi_batch_000008","51.6","1700","cbe8c89d-8c3e-493a-8361-97b0f66cda44","MeOH/H2O","202405171439_HC_fibl_000005_01_01.mzML","ND","soil","175a7812-6024-4708-b3db-93223c778fb3","d27c0718-bd19-4630-b445-7a4cb3e8a805","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","fibl_000005_01","ND","biodynamique","ms_000001","100mm_C18_15min_DDA_ELON_pos","2","471debd6-4cee-44d4-a0be-bea55e95d90c","ND","ND","ND","FALSE","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","D90","ND","ND","ND","ND","47.50292","7.53846","Mixte","ND","ND","ND","ND","fibl_000005_01_01","sample","ND","ND","ND","ND","fibl_000005","ND","NA","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND",0.314154677918643,0.127826606019088,0,0,0.658939705635374,0,1,0,0,0.309718959658298,1,0,0,0,0.0659981482040671,0,0,0.350256574998806,0,0.436419974125545,0,0,0.599175533699219,0.259063754263944,0.39406683799721,0.180274189434213,0,0.560792279232802,0.255475671690192,0.310254009205723,0.723464701364286,0,0.0919510835270267,1,0.411491073036044,0,0.374054433531303,0,1,0.0782218111800722,0.400707153136447,0,0.664105729550198,0.468909912474137,0.272693452768143,0,0.76093291100318,0.596001503046546,0,1,0.225553256281444,1,0,1,0,0.135209430693444,0,0.47570318641509,0,1,0,0,0.742384268358642,0,0.482828036434796,0,0.0615036483913314,0.196553730804564,0.391510366737227,0,0,0,0,0.364178674250504,0.297873983032074,0,1,0.79937508645592,0.359830253134263,0,0.0956363547288172,0,0.035776666785698,0.497936991454392,0.518246663481851,0,0.0372911015988006,1,0.261534223795334,0,0.534688127217885,0,1,0.641007714023617,1,0.299402923835842,1,0.12681042285286,0.0258211862983407,1,0.426854106050443,0,0,0,0,0,1,0.150816879220565,0.151644466615245,0,1,0.478949051489914,0.360608463889887,0.104892788365118,0.661996185085725,0.124329132156797,0,0.283287264991817,0.308453366465022,0.226674445826938,0.511958748452565,0.263089070160667,0.353877011210795,0,1,1,0.311631399217006,0,0,0.778469354460379,0.10891470564059,0.523192498831859,0.0402437629167374,0.496353025928911,0.894640162881307,0.424892076569327,0.503428801995791,0.293501879935352,0,0.985504047636924,0,0.0105819660942807,0.0348511395082925,0,0.791514740142953,0.397421283691121,0,0,0,0.551417608171286,1,0,1,0,0.540593926021562,0.348954408274407,0,0,0,0,0,0,0.819049830372792,0.120052762263324,0.390365224107508,1,0.496847800058288,0,1,0,1,0.975234135200676,1,0.525432959553525,0.549756883336139,0.804734428002946,0,0,1,0.409077568795146,0,1,0.266067777661162,0.482805558534723,0,0,0.978134875988356,0.0584484798517751,0.352805112070643,1,0,0.1539963985769,0.356280152990338,0,0.231700886167073,0.0427842405339307,0,0,0.389226339989629,0.603260089583935,0.273958186839676,0.237403149004083,0.342001596950681,0,0.0599799687406402,0,0,0.580622593384011,0.508622331590432,0,0,0.54942040467861,0,0.351624129367909,0.42926289957729,0,0,0,0.123313078378899,0.364181497650323,0.4505890717867,0,0,0.596904067620482,0.798041120559583,0.166897974235913,0.550991532063688,0,0.406222812630059,0.141481677037649,0,0.126571898826268,0.348239486888134,0.238829355429917,0.301911237655425,0.109141328758173,0,0.128602456061341,1,0,0,1,1,1,0.615104346914747,0,0.888038830333639,0,0,0,0.296291292884325,0.94365474561263,0.552133711200984,1,0,0.239754761384884,0,1,0,0,0,0,0.238192150414166,0.315577964724896,0.496390610383375,1,0.167839824668843,0,1
"202405171439_HC_fibl_000011_01_01.mzML","3d9607c7-6235-4ec3-bfb6-1e0fe7b1195a","120","ND","ND","montalbano","ND","ND","dbgi_batch_000008","51.7","1700","6807eae1-b6e9-4beb-a483-51b3dd7f0abe","MeOH/H2O","202405171439_HC_fibl_000011_01_01.mzML","ND","soil","175a7812-6024-4708-b3db-93223c778fb3","ebb59329-8626-4a53-a494-c12ae263ea7c","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","fibl_000011_01","ND","biodynamique","ms_000001","100mm_C18_15min_DDA_ELON_pos","2","829919b8-dcfe-4097-ada7-f93a6efe2b74","ND","ND","ND","FALSE","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","D46","ND","ND","ND","ND","47.5028","7.53966","Mixte","ND","ND","ND","ND","fibl_000011_01_01","sample","ND","ND","ND","ND","fibl_000011","ND","NA","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND",0.621655271308543,0.243033324281692,0.527166005649335,0,0.461207897304957,0,0,0,0,0.11809426646443,0,0,0,0.213021228229972,0.341825275023981,0.419714273392734,0.590988986993589,0.734474412776032,0.311223739015251,1,0.552765276757564,0,1,0.0315761120127565,0.115743564586486,1,1,0,0.794298121806799,0.08147265513519,0.783897665653098,0.408371734046265,0.761067512751963,0,1,0.207012272311852,0.272490431243226,0,0,0.127872861118799,1,0,1,0.171291074301959,0.744125547780758,0,0.867797039572544,0.320113870824064,0,0,0.0993351592254282,0.057078736329774,0.658785068955761,0.217340428291811,0.406844858207741,0.677646517390433,0.303766938421804,0.0513613280185166,0.189271607525263,0,0.469281561319272,1,0.744593439298119,0.177571857091877,0.464935299427412,0.49212725317212,0.724502154065273,0.888223552965035,0.222861337371425,0.522377048773424,0,1,0.30764426205996,0.614048926061263,0.709205667264536,1,0.54591146160739,0.925095239405358,1,0.131478328690931,0.893712893732211,0,0,0,0.289420715833773,1,0,0.443208021252076,0.0485800126024619,0,0.424475508168681,0,0,0.809383864633556,0,0.516298105383605,0,0.261931407505037,0.458776516951666,0.555123033719053,0,0,0.0575177187120237,0,0,0.0737483869475098,0.762380748324238,0.310409011864799,0,0,0.924885997639901,0.703076101748935,0,0.0458663982298916,0.911666101547379,0.369989715047811,0,0.138568522337409,0.159374307065979,0.581722457792695,0,0.530365302947398,0.0406978627547403,0,0,0.155467748860532,0.28152351442405,0,0.0126069014087336,0.33355704249759,0.0405676036495366,0,0.0409965168243447,0.0739432713937026,0.855290197321194,0.948524246416217,0.528638066320363,0.481782886067812,0.246964124500175,0,0.00657447808358232,1,0.279805762186406,0,0,0.566932382318162,0.00334717526695218,0,0.413635201565073,0.212374272713255,0.634052752561543,0,0.683241216637117,0,1,0.466679062269232,0,0.310511308846333,0,0.753790867247408,0,0.353843278789282,0.495869007281636,0,0.237910968555451,0,0.401621119555167,0,0.588462826722794,0.731731443978736,0.844026219540067,1,0.0076336242602044,0,0.56211471424067,0.920259929862578,0,0.385323761837691,0.884672322382823,0.769281297477803,0.824072667152697,0.222415914350739,0.872360036089672,0.897675618625795,0,0,0.833244486987243,0,0,0.721219286426186,0,0.289363624630714,0.219496817948465,0.349145702183417,0.579979467878114,0,0.18342110663439,0,0,0.959848697155727,0,0.667799971270853,0,0.8116064788851,0.0114138405919209,0,0.661997184843191,0,1,0,1,0,1,0.704233546431009,0.428727878274178,0.250118042453149,0,1,0.541551060378567,0.0711066955496476,0.139218953593003,1,0,0.0302102747684878,0.540831410559689,0.16766566342805,0.262808319693581,0.2739036134328,0,0.36032186492425,0,0.126795157707844,0.555272368548316,0.628945358686496,0.210143601176891,0,0,0.308545311587023,0,0.211383712749097,0,0.560430820710725,0.538858487778736,0.305725878397732,0.409990607637332,0,0.598636853362797,0.423613106706853,0.187899791032979,0.26531656801187,0.716717536124012,0.642627360902501,0.855212567080534,0.0161338948976843,0.465137986331186,0.693552141108024,0.866315711731886,0,0,0,0.0193654088313726,0,1,0.369221540118708,0.0659553315813016,0,0.828260870446872,0,0
"202405171439_HC_fibl_000016_01_01.mzML","fc5bc791-1331-4682-9bb2-39ab8b4a1c0c","120","ND","ND","montalbano","ND","ND","dbgi_batch_000008","50.9","1700","3a1d199d-fdcc-486a-827b-d4db7fc4f282","MeOH/H2O","202405171439_HC_fibl_000016_01_01.mzML","ND","soil","175a7812-6024-4708-b3db-93223c778fb3","1dc56b01-6a0f-4a74-85d5-4f8d8d3b365e","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","fibl_000016_01","ND","conventional purely mineral fertilization","ms_000001","100mm_C18_15min_DDA_ELON_pos","2","e0fabb50-70e4-4bf4-86dc-12b8c1d24d7c","ND","ND","ND","FALSE","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","M40","ND","ND","ND","ND","47.5027","7.53959","Mixte","ND","ND","ND","ND","fibl_000016_01_01","sample","ND","ND","ND","ND","fibl_000016","ND","NA","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND",1,0.0370521624904178,0.0142095079506075,0,0.909099238474907,0,0,0.50818910012414,1,0.040027403519695,0.481344514259278,0,0,0.136507148628825,1,0.925699816260893,1,0,0.757975754252859,0.94044351337389,0.524676858372572,0,0.500745256667217,0.406042784164692,0.233131573943203,0.162880799649813,0,0.314734550081759,1,0.461424571754669,0.506284883032349,0.307254869888883,0.3966234289429,0,0.97876733265724,0.43560436957912,0.54203796812821,0,0,0.127033599440208,0.9984310647081,0,0.948053291276969,0,1,0,0.909251131970521,0,0,0,0.224844066765206,0,0.919527582093764,0.118884115277195,0.537639087739456,1,0.300371778198,0.270670141829682,0.497035835198714,0.128003812461078,0.815239122877451,0,0.761203391814232,0.458497060875561,0.120589722328763,0.623070678220354,0.974573567696414,1,0,0,0,0.140999008603093,0.487492483973946,0,0.906858330472087,0,0.663200984526227,0.406139475412042,0.554219995903814,0.139674132463784,0.670964860809695,1,0.453127874005291,0.871986586407978,0.165256973787882,0,0.0488725155671034,0,0,0,0.405089989860499,0,0,0.15561088305517,0,1,0,1,0.995350373431896,0.608080178937902,0.17831226573028,0,0.0814213325665826,0,1,0.273624676540711,0,0,0,0,0,0.420346304772139,1,0.385853052885752,0.270002951844511,0,0,0.489894400448805,0.375136266727738,0.835990235624835,1,1,0,0,0,0.0457117115463508,0,0,1,0.253307622503499,0,0.0608743679198522,0.258271718366637,0,0,1,0.854956194230948,0.605082307276096,1,0.00522617939349392,0.00309192071773946,0.782366401198699,0.242478488005655,0,0.756089850833548,0.771842358532791,0.0647617558042086,0.208206236342203,0.518040367570359,0.337443116868916,0,0,0.561684213854431,0,0.67316872036521,1,0.32893901103393,0.26310027257515,0,0.441782705383457,0,0.00365804270916495,0.390445607220042,0.340789424116128,0,0,0.489251389255131,0,0,0.459566145618167,0.400174335814303,0.7841248727688,0,0.081120658458678,0,0.382452727479667,0,0.14668557848936,0.873852981767999,0,0.531145003460434,0,0.932659415381961,0.584305575663071,0,0,1,0.153155020857609,0.246685506280799,0.612485076469373,0,0.366094814686792,0.156464175170294,0.293044275860085,0,0.377153414030753,1,1,0.375411880564426,0.75949358088503,0,1,0,0,0,0,0.0608820246340285,1,0.23338794074366,0,0,0,0,0.631097779693637,0.493449392613827,0.513497697269343,0,0,0.873868361752888,0.518313449281305,0.266379452085465,0,0,0,0.669051794726051,0,0.00079489056837053,0.331056463364187,0.0701513060269666,0.505680125278561,0,0.414958935310306,0.133625942380318,1,0,0,1,0.0767414486153906,0,0.863732141325228,0.036943504825099,0,0,0.151313218596615,0.00169422772462292,0,0.825417281253022,0.28694361416587,0.0364084560817076,0.297275550584852,0.909589489541266,0.150878760933699,0.340142164568521,0,0.0966429596129465,0,0.185408437941292,0,1,0,0.0731565655988158,1,0.0934365714423048,0.479478774466533,0,0,0.52187806458359,1,0.033652497119054
"202405171439_HC_fibl_000024_01_01.mzML","dadf0794-500b-40da-b05a-6b098ec4ebf3","120","ND","ND","montalbano","ND","ND","dbgi_batch_000010","51.3","1700","1245dda9-02ee-4275-a457-db3df149e934","MeOH/H2O","202405171439_HC_fibl_000024_01_01.mzML","ND","soil","175a7812-6024-4708-b3db-93223c778fb3","7cc1a446-3a2f-4742-8afb-0e29c79570be","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","fibl_000024_01","ND","biodynamique","ms_000001","100mm_C18_15min_DDA_ELON_pos","2","3a620d96-aba1-4912-9d38-535e04fdba01","ND","ND","ND","FALSE","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","D12","ND","ND","ND","ND","47.50229","7.53976","Mixte","ND","ND","ND","ND","fibl_000024_01_01","sample","ND","ND","ND","ND","fibl_000024","ND","NA","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND",0.170762576602956,0.517025866866069,0.218070414209556,0,0.0262625426780671,0,0,0,0,0.117651364957638,0,0,0,1,0.333753584934386,0.156003511419021,0.0880516412605116,0.112671287010723,0.180207064191071,0.978939567670762,1,0,0.110065601675613,0.29909064103399,0.117890217770929,0,0,0.781294462924773,0.419888557771719,0.254216066619365,1,0.299550647185318,1,0,0.164137483132642,0.173691505588671,1,0,0,0,0.173772675402891,0,0,0.87164114981897,0.221627591493425,1,0.573865548454424,0.576832136425684,0.836386683691298,0,0.36946191001191,0,0.544850572562282,0.568361104976563,0.0747895129427919,0.158472960273043,0,0.0398542553620164,0.228412994134468,0.325087423051418,0.249589630703207,0.318805604576602,0.618557772355067,0.688229599390934,0.863753458045679,0.661533460328943,0.149085450773821,0.156276671340581,0.567830838618854,0.957134271989236,0,0,0.521369248583575,0.1067211296722,0.220463883756946,0,0.119512017542136,0,0.886936030925026,0.414188140541559,0.887786987228144,0.19209224036569,0,0.292314083276521,0,0.420831404039678,0.435793140371039,0.045526072237751,0,0,0.162270649290288,0,0,0.0170706050718881,0,0.807455067146948,0,0,1,0.402331488295857,0.377226125647883,0,0.316227699727298,0,0,0.610941850098698,0.622153222841381,1,0,0,0.564339519613292,1,0.392528835703079,0.167266751654231,0,0,1,0.486225876399946,0,0.444332155666263,0.509764715033206,0.926570902780008,0,0,0,0,0.484069178445331,0,0.349588951203122,0.846656556429051,0.360179981580237,0.576452299171201,0,0.721809340537046,0.984073425195186,0.119835324345442,0.534540581363477,1,0.388799843425974,0.253976905008997,0.0888702598150747,0.946300819898473,0.0181950962168518,1,0.499401706079425,0.298334968684091,0.0548485873950159,0,0.0843653493981641,0,0.53145484833566,1,0.837515728332676,0,0.301955729748054,0.975272746552355,1,0.454899690708955,0,1,0,1,0.51351190917561,0.633458869042243,0.265537936356133,0,0,0,0.348339526888395,0.791004079747821,0.328124663043878,0.912403481597123,0,0.280158766101454,0.884509453634742,0,0,0.936896193165991,0.484811778259829,0.390966794092033,0.553557079796089,0.380058519473226,0.319438233898167,0,0,0,0.254122827745571,0,0.0926467505674158,0.144852923611762,0,0,0.0220613368124981,0,0.247664272415055,0.648078963590325,0.556130853817294,0,0.329815238695007,0.247547103208362,0,0.0203205000462918,0,0,1,1,0.0652327151501078,0.637703487754963,0,0,0,1,0,0.34500392418014,0,0.561461795747473,0,0,0.173436450831651,0.214888741361897,0,0,0,0.761530276640558,0,0.519176217245885,0.113627980148825,0.281073156087741,0.664429190090562,0.734818922883166,0,0.695836308051391,0,0.582456667032496,0.251860638779491,0.361922465580083,0,0,0,0.338770628202595,0.195465699898537,0.154373679265554,0.282866192151325,0.818086398360576,0.25815743821231,0,0,0.0707636711807457,0.0926557704391956,0.42641726041129,0.119327808285894,0.726216611823178,0,0,0.300665101878145,1,0.715740958301381,0,0,0,0.621498973838609,0,0,0.0889149685641188,0.0483800570390285,0,0.250438037979579,0.0451033545894037,0
"202405171439_HC_fibl_000033_01_01.mzML","1fdbe3f7-e96c-4da4-b508-973b404463aa","120","ND","ND","montalbano","ND","ND","dbgi_batch_000010","51.2","1700","28022ede-a81c-4741-862e-dfe62fc098ba","MeOH/H2O","202405171439_HC_fibl_000033_01_01.mzML","ND","soil","175a7812-6024-4708-b3db-93223c778fb3","f91c4f96-4012-4f1d-9728-efa04817fac2","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","fibl_000033_01","ND","conventional purely mineral fertilization","ms_000001","100mm_C18_15min_DDA_ELON_pos","2","b58327f6-7727-4152-a0e7-d51ea4fb3e9e","ND","ND","ND","FALSE","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","M6","ND","ND","ND","ND","47.50215","7.53972","Mixte","ND","ND","ND","ND","fibl_000033_01_01","sample","ND","ND","ND","ND","fibl_000033","ND","NA","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND",0,1,1,0.586139120159898,0.735894336584169,0,0.741335351066544,1,0,0.240370171148907,0,1,0.0277181984579197,0.0432692620421478,0,1,0.395915204793162,0.388353280527674,0.233297871784147,0.62966388896087,0.495289035167514,1,0.736788728625429,0,0.273997315913655,0.951606020006986,0,0.786583345323658,0,0.663781234207383,0,1,0.357145444306062,0,0,0.226627762414756,0.926666540530768,0,0,0.136778862649794,0,0,0.334118428884535,0.768165972644145,0,0,1,0.530200321010913,0,0.0276351135364079,0.419697224381441,0.814231039926831,0.383331550280792,0.743797742412251,0.0938636523945729,0,0,0.592792552839958,1,0.962843054832443,0.143778576202335,0,1,0.781671673756642,1,0.0685555304157605,0,0,0.831109135286508,0.274330095276281,0,0.3936402577331,0.497849139688624,1,0,0,0.309597130297347,1,0.951623693340053,0.362305649331662,0.413886011391075,0.484353234412841,0.0404850045114428,0.0505304637739789,1,0.324805661682498,0.0700673226983733,0.782681780445872,1,0,0.606810889851834,0,0,1,0,0,0,0.0255813292354533,0,0.0252029872144713,1,1,0.580295883672887,0,0,0.718027503717784,0.227848422521248,0.330306587585051,0,0,0.349048788779977,0,0.246891020454735,0.781125090323582,1,1,0,0.353370052612567,0.186456677368357,0,0.231353092773654,0.0964763117186803,1,0,0,0.398083507925243,0.927439670518735,0,0.280081356344215,0.67255304275789,0.998521127043577,1,0.171179682004266,0.870713981530152,0.179049130616743,0,0.408785414728497,0.613886667577773,0.0650580706930801,1,1,0.578841944675549,0.170809309913737,0,0.0793798861008317,0,1,1,0.392665064137071,0.664432420009124,0.635007773224784,0.718448508228783,0.61569957423643,1,0,0,0.207507221966949,0.152831716073505,1,0.892784797454343,0,0.455925630964992,0,0.784023459049299,0.689890489214925,0.873627843586365,0.850827289063782,0.343808383742601,0.238503324611804,0.821899778331051,0.724849966126566,0.750077047496736,0,0.114180686067068,0.684979144983686,1,0,1,0.493670899267734,1,0.751333621673945,0.854859817865679,0,0.563194572038927,1,0,0.303081141508158,1,0.0340431726692449,0.308666897246664,0,0.315448887597753,0.152296301398333,0,1,0.475028247571155,0,0,0.642076545645392,0.649867104374364,1,0.200640008965429,1,0,0.0228414178002193,0,0.569666074152899,0.784089868790799,0.732306914186931,0,0,0.853615846363361,0,1,0.508753381283912,0.601295009666951,0.361358389542822,0,0,0.860715169087701,0.45462254643228,0,0.844069343060671,1,0.0788470160702876,0.750421522712274,1,0.397910458371257,0.51446605059879,1,0,0.996308802019552,1,0,1,0,0,0.248704324560073,0,0.728863178121725,0.601147142813206,0,0.2567475676711,0.56424642882317,1,1,0.607407114689254,0.639999535097028,0.0949088883690769,0,0,1,1,0,0.387802326990092,0.542108502125058,0.162592351238025,0,0,0,1,0,0.0843976506003431,0,1,0,0,0,0
