	biodynamique_vs_conventional purely mineral fertilization_fold_change_log2	biodynamique_vs_conventional purely mineral fertilization_p_value
2-amino-1,3,4-tetradecanetriol	-0.272019811682567	0.407312972585444
hordenine	0.314476515881984	0.172962242916447
santacruzamate A	0.321928094887362	0.355917683749582
3,4-dimethylindole-2-carboxylic acid	0.39720846928589	0.210648839683959
6,7-dimethoxy-3-(4-methoxy-6-methyl-7,8-dihydro-5H-[1,3]dioxolo[4,5-g]isoquinolin-5-yl)-3H-isobenzofuran-1-one	-0.368786543772089	0.26946822812561
Diterpene deriv 329	-0.324762456980738	0.219361506238437
2-phenylethylamine	0.128475591256361	0.598959260766735
tridecanedioic acid	0.0252969372375282	0.938164119870333
Kukoamine A	0.205088378526072	0.477307271529364
Acetyl tributyl citrate	0.350067442582533	0.15358102117495
4-[5-(4-methoxyphenyl)-1,2,4-oxadiazol-3-yl]benzoic acid	0.399911185743515	0.224852838030387
2-[5-[2-[2-[5-(2-Hydroxybutyl)oxolan-2-yl]propanoyloxy]butyl]oxolan-2-yl]propanoic acid	-0.321928094887362	0.355917683749582
N-Nitrosothiazolidine-4-carboxylic acid	0.231399134284619	0.32325727093158
5-Hydroxytryptophol	0.321928094887362	0.355917683749582
monoethyl phthalate	0.373665815589217	0.146839831678793
glutamic acid	0.321928094887362	0.355917683749582
beta-D-Ribofuranose, 1-(6-amino-9H-purin-9-yl)-1-deoxy-5-S-methyl-5-thio-	-0.635682881285062	0.00116160119249688
SPB 16:1;2O	0.219308909427107	0.512999558840874
Pentacosanoylglycine	0.304334881615891	0.271667617089272
(-)-11-Hydroxy-9,15,16-trioxooctadecanoic acid	0.457701069806675	0.0104835178180719
phosphocholine	-0.345544070885129	0.279667291356781
N-undecanoylglycine	-0.494471489544295	0.0303297782175908
9,10,18-trihydroxyoctadecanoic acid	-0.489182484259533	0.151892179347491
N,N-bis(2-hydroxyethyl)dodecanamide	0.352684638589571	0.130358941902344
tyramine	0.314834584170121	0.232475759243803
gamma-decalactone	0.367302856818974	0.247724315855424
3',5'-di-O-methyltricetin	-0.0882750169849196	0.793426469628836
bis(2-ethylhexyl) phthalate	0.104728811679711	0.730983044886873
sinapine	0.321928094887362	0.355917683749582
13-Dodecan-2-yl-6-(1-hydroxyethyl)-3-(hydroxymethyl)-12-methyl-9-propan-2-yl-1-oxa-4,7,10-triazacyclotridecane-2,5,8,11-tetrone	0.0225551776189895	0.93470128029111
2-aminopimelic acid	0.0813298640637545	0.789788174588467
octadecanamide	0.389033837341072	0.242508380012619
3,7,8,15-Scirpenetetrol	0.0544576445613038	0.890525523384949
1-Palmitoyl-2-hydroxy-sn-glycero-3-PE	0.139242018889079	0.638976485825273
dodecanedioic acid	0.111969427691096	0.599702516122607
hexaethylene glycol	0.400486403516375	0.154769532649886
SPB 17:1;2O	0.119341623073472	0.673025358793313
N-Acetyl-Valine	0.632983265434233	0.0081023054143964
8-oxo-9,11-octadecadiynoic acid	0.321928094887362	0.355917683749582
Culpin	-0.685200276514148	0.0221459675228984
1,4'-bipiperidine-1'-carboxylic acid	0.380473142736898	0.231385770716908
Pestalotionol	-0.233677787150102	0.268630835201593
N-methylnicotinic acid	0.371068706243853	0.182535465772666
serotonin	-0.321928094887362	0.355917683749582
diethyl phthalate	0.333574296724665	0.232609281172912
dodecanamide	0.28593968563209	0.306703857667366
hypoxanthine	0.380786577969198	0.25099330017315
epinine	0.335329584210756	0.162346614605865
histidine	-0.265087832675202	0.311083749189836
p-coumaroylagmatine	-0.0836155356055393	0.826729797144556
Valyl-Proline	0.580562608155389	0.134001859572705
N-(6-aminohexanoyl)-6-aminohexanoic acid	-0.0967913943394185	0.762429164627955
3-Hydroxy-10,13-dimethyl-17-(6-methylheptan-2-yl)-1,2,3,4,8,9,11,12,14,15,16,17-dodecahydrocyclopenta[a]phenanthren-7-one	-0.360494828666176	0.236351498985676
1,10,11-Trihydroxy-2,2,6a,6b,9,9,12a-heptamethyl-1,3,4,5,6,6a,7,8,8a,10,11,12,13,14b-tetradecahydropicene-4a-carboxylic acid	-0.189023672320182	0.497729076379812
4-hydroxy-3-methoxycinnamoylagmatine	0.321928094887362	0.355917683749582
sulforaphane	0.123305379323548	0.627099846264632
[3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl] 3,4,5-trihydroxybenzoate	0.123044281591923	0.704495588325006
4-(trimethylammonio)butanoic acid	-0.10929735748123	0.68713250444482
2,4-dihydroxybenzaldehyde	0.176559000594417	0.563961603442081
N-Acetyl-proline	0.399761841105947	0.117381264908595
Methylone	0.372626889318718	0.263383147645232
apigenin	-0.172420565021748	0.622137300216404
N-(4-Aminobutyl)-3-(3,4-dihydroxyphenyl)prop-2-enamide	0.425437732459964	0.17856550656311
indole-3-carbaldehyde	0.00683470853955002	0.979381136993007
adenine	-0.0710308425471641	0.803197977284899
l-Norvaline, N-(2-methoxyethoxycarbonyl)-, undecyl ester	0.397787895431043	0.234630048060954
N-[2-(1H-benzimidazol-2-yl)ethyl]-3,5-dinitrobenzamide	-0.321928094887362	0.355917683749582
quinolin-4-ol	0.360468399915723	0.148620761234576
Orientin 2''-rhamnoside	-0.263707572231678	0.523470463337993
salicylic acid	0.190991805173398	0.339437019293113
(8E)-2-Amino-8-octadecene-1,3,4-triol	0.241375841298863	0.365834450020067
N-Acetyl-leu-leu-leu-leu-leu-tyr-amide	0.321928094887362	0.355917683749582
N-acetyl-5-aminosalicylic acid	-0.321928094887362	0.355917683749582
4-Methoxy-1H-indole-3-carbaldehyde	0.797028475007371	0.0060971135719967
phenylethanolamine	0.360728449756496	0.282756910466368
catechin	0.321928094887362	0.355917683749582
Tocopheronic acid	-0.0895773361719783	0.766355947545408
allocryptopine	-0.580381926847959	0.134004163263101
2-Amino-1,3,4-octadecanetriol	-0.186282929705429	0.462490815910848
N-acetyldopamine	0.185585681958169	0.527868059957954
pipecolic acid	-0.0703671575492741	0.807146277729556
Camelinin	0.321928094887362	0.355917683749582
2-Methyl-4-carboxy-3,4,5,6-tetrahydropyrimidine	0.191179291409761	0.51842319831302
tryptophan	0.224834050404152	0.501784047506512
nicotinamide	-0.226764897606214	0.263982091113742
1-Oleoylglycerophosphoserine	-0.321928094887362	0.355917683749582
Normetanephrine	0.431556934761458	0.108119919589437
guanine	-0.0247242774872109	0.918577591698462
protopine	-0.772551219379294	0.000524074159609786
7-Methyl-cholic acid	0.321928094887362	0.355917683749582
luteolin	-0.119894770275749	0.744217463398528
2-(3,4-dihydroxyphenyl)-5,7-dihydroxy-3-[[3,4,5-trihydroxy-6-[(3,4,5-trihydroxy-6-methyl-2-oxanyl)oxymethyl]-2-oxanyl]oxy]-1-benzopyran-4-one	0.436761846046942	0.183223954251029
[3-carboxy-2-(1-oxohexadecoxy)propyl]-trimethylammonium	0.0554094395255936	0.888492260078815
2-(6-aminopurin-9-yl)-5-(hydroxymethyl)oxolane-3,4-diol	-0.334167441059571	0.324808738567517
scopoletin	-0.0500297963207464	0.850605472694559
Pyroglu-Asn-Lys	0.321928094887362	0.355917683749582
(+)-4,11-Eudesmadien-3-one	0.404163944982078	0.194753139081342
1,5-anhydro-1-[5,7-dihydroxy-2-(4-hydroxyphenyl)-4-oxo-4H-chromen-6-yl]hexitol	0.321928094887362	0.355917683749582
2-(Acetylamino)hexanoic acid	0.315867919694397	0.135765649437256
Corymboside	-0.148778836678958	0.679696558828433
2-[2-(3,5-Dimethyl-2-oxo-cyclohexyl)-6-oxo-tetrahydro-pyran-4yl]-acetamide	-0.243946253336261	0.476420792627265
1-[1-(1-cyclopentyl-5-tetrazolyl)-2-methylpropyl]-4-(2-fluorophenyl)piperazine	0.293762427867542	0.335446315104612
L-Glutathione (reduced)	-0.321928094887362	0.355917683749582
mesalamine	0.252651145537064	0.262584834636052
