	biodynamique_vs_conventional purely mineral fertilization_fold_change_log2	biodynamique_vs_conventional purely mineral fertilization_p_value
salicylic acid	-0.0263100025185339	0.927919448584127
acetylagmatine	0.249927006528811	0.451045025266052
3-(1H-indol-3-yl)-2-(methylamino)propanoic acid	0.321928094887362	0.355917683749582
phenylethanolamine	0.422185029507862	0.226362757670341
tryptamine	-0.321928094887362	0.355917683749582
N-acetyldopamine	0.462161739086571	0.124944842069898
pipecolic acid	0.466536253352411	0.163081914362693
2-Methyl-4-carboxy-3,4,5,6-tetrahydropyrimidine	0.119997606305191	0.723151658570184
tryptophan	0.404748834964878	0.246749436512734
C17-sphinganine	0.321928094887362	0.355917683749582
guanine	0.289237016580231	0.293344612183876
[3-carboxy-2-(1-oxohexadecoxy)propyl]-trimethylammonium	0.0946470617972342	0.768628246283973
L-Glutathione (reduced)	0.387768675392048	0.240978332607185
N-acetylphenylalanine	0.536459621810839	0.143615991454777
methiin	0.222944216027016	0.358610576701073
DIMBOA-Glc	0.229036707457816	0.396229157765508
ACar 20:4	-0.31788383649425	0.360985217378142
3-Methyl-2-[[2,3,4-trihydroxy-5-(hydroxymethyl)oxolan-2-yl]methylamino]pentanoic acid	0.321465646679671	0.354346547666067
3-aminoadipic acid	0.393477253123737	0.195100921069879
methionine	0.247135731496442	0.46105226798067
ACar 18:0	0.0810982337528427	0.80873562771135
ACar 13:0	0.129622486913321	0.675723866813989
dibenzothiazol-2-yl disulfide	0.018594410900957	0.964231375500333
N-(tetradecanoyl)ethanolamine	0.31586227579344	0.354949171988038
gamma-glutamylphenylalanine	0.456973934527396	0.169893731606994
9-(methylsulfinyl)nonanoic acid	-0.0329495238193914	0.918226308135248
1-isothiocyanato-5-(methylsulfinyl)pentane	-0.321928094887362	0.355917683749582
gamma-L-Glutamyl-L-valine	0.385186116287113	0.243803559077458
asparagine	0.485007605742627	0.14551791742874
2-aminooctadecane-1,3-diol	0.310174895529059	0.366044002827225
