"feature_id_full","feature_id","feature_mz","feature_rt","biodynamique_vs_conventional purely mineral fertilization_p_value","biodynamique_vs_conventional purely mineral fertilization_p_value_minus_log10","biodynamique_vs_conventional purely mineral fertilization_fold_change","biodynamique_vs_conventional purely mineral fertilization_fold_change_log2","canopus_npc_pathway","canopus_npc_superclass","canopus_npc_class","sirius_name","gnps_smiles","met_annot_structure_smiles","sirius_smiles","gnps_inchi","gnps_inchi_aux","gnps_inchikey","gnps_inchikey_planar","met_annot_short_inchikey","met_annot_structure_inchi","met_annot_structure_inchikey","sirius_inchi","sirius_inchikey2d"
"3658_261.15_6.4",3658,261.148555232852,6.42195483211009,0.00223730230614596,2.65027532970729,1.71289991704752,0.776440858720571,"Terpenoids","Meroterpenoids","Prenyl quinone meroterpenoids","alpha-Cehc",NA,"C=C1O[C@@H]2[C@H]3C(=C)[C@@H](O)C[C@H]3C(=C)C[C@@H](O)[C@H]2C1=C","CC1=C(C2=C(CCC(O2)(C)CCC(=O)O)C(=C1O)C)C",NA,NA,NA,NA,"OLSOYTHXHBNGLE","InChI=1S/C16H20O3/c1-7-5-13(18)15-8(2)10(4)19-16(15)14-9(3)12(17)6-11(7)14/h11-18H,1-6H2/t11-,12-,13+,14-,15+,16+/m0/s1","OLSOYTHXHBNGLE-RWHKXBQASA-N","InChI=1S/C16H22O4/c1-9-10(2)15-12(11(3)14(9)19)5-7-16(4,20-15)8-6-13(17)18/h19H,5-8H2,1-4H3,(H,17,18)","AXODOWFEFKOVSH"
"5240_234.13_2.2",5240,234.133887066276,2.2327271203252,0.00628373251848322,2.20178230998139,1.52899302725239,0.612581827515371,"Amino acids and Peptides","Small peptides","Dipeptides","Pantogab",NA,NA,"CC(C)(CO)C(C(=O)NCCCC(=O)O)O",NA,NA,NA,NA,NA,NA,NA,"InChI=1S/C10H19NO5/c1-10(2,6-12)8(15)9(16)11-5-3-4-7(13)14/h8,12,15H,3-6H2,1-2H3,(H,11,16)(H,13,14)","SBBDHANTMHIRGW"
"2678_392.23_5.7",2678,392.227897954181,5.67442866666667,0.028996203682394,1.53765885822905,0.710534310110358,-0.493023779225151,"Alkaloids","Peptide alkaloids","Simple amide alkaloids","Cpp-vpgvg",NA,NA,"CC(C)C(C(=O)NCC(=O)NC(C(C)C)C(=O)N1CC=CC1C=O)NC(=O)CN",NA,NA,NA,NA,NA,NA,NA,"InChI=1S/C19H31N5O5/c1-11(2)16(22-14(26)8-20)18(28)21-9-15(27)23-17(12(3)4)19(29)24-7-5-6-13(24)10-25/h5-6,10-13,16-17H,7-9,20H2,1-4H3,(H,21,28)(H,22,26)(H,23,27)","MIHGCDPJJGWQHT"
