CLUSTERID1	CLUSTERID2	DeltaMZ	MinRatio	Cosine	AlignScore2	AlignScore3
1135	1310	15.995	0.000	0.9742	0.7885	1
1135	1412	-198.074	0.000	0.8116	0.5106	1
1135	1420	-36.021	0.000	0.8001	0.5142	1
1135	1431	31.990	0.000	0.9160	0.7197	1
1135	1543	164.011	0.000	0.7772	0.6641	1
1135	1933	-180.063	0.000	0.7729	0.4813	1
1135	2458	146.984	0.000	0.9136	0.6057	1
1135	3881	-33.076	0.000	0.7543	0.4229	1
1135	4031	164.025	0.000	0.8297	0.5704	1
1135	4038	132.969	0.000	0.9354	0.7017	1
1135	4258	146.037	0.000	0.7936	0.4469	1
1135	4773	104.974	0.000	0.8726	0.6512	1
1135	5053	164.011	0.000	0.7659	0.5625	1
1135	5090	164.011	0.000	0.7898	0.7106	1
1135	5144	164.025	0.000	0.8306	0.5605	1
1135	5195	146.985	0.000	0.9358	0.7011	1
1135	5391	146.985	0.000	0.9388	0.7190	1
1136	1241	23.037	0.000	0.8305	0.5378	1
1136	1491	14.963	0.000	0.8980	0.6930	1
1136	1506	-6.974	0.000	0.8253	0.5993	1
1136	1761	7.042	0.000	0.8136	0.5455	1
1136	2230	25.053	0.000	0.7817	0.4838	1
1136	2294	56.026	0.000	0.7973	0.5847	1
1136	2298	14.004	0.000	0.8238	0.6397	1
1136	2325	-31.943	0.000	0.7019	0.3683	1
1136	2356	-1.932	0.000	0.7029	0.4695	1
1136	2667	15.983	0.000	0.8154	0.5578	1
1136	2974	56.026	0.000	0.7973	0.5847	1
1136	3102	9.057	0.000	0.7951	0.5672	1
1136	3201	-1.932	0.000	0.7790	0.5654	1
1136	3210	58.004	0.000	0.8752	0.6424	1
1136	3242	99.068	0.000	0.7265	0.4999	1
1136	3324	-53.925	0.000	0.7729	0.5639	1
1136	3519	-6.974	0.000	0.7979	0.5541	1
1136	3548	-1.932	0.000	0.7568	0.4889	1
1136	3602	-15.974	0.000	0.8116	0.5315	1
1136	3627	14.963	0.000	0.8707	0.6554	1
1136	3774	-104.027	0.000	0.8695	0.6963	1
1136	3793	-136.984	0.000	0.7179	0.4189	1
1136	3818	-72.915	0.000	0.7334	0.5428	1
1136	3855	23.037	0.000	0.8318	0.5315	1
1136	3995	23.036	0.000	0.8327	0.6604	1
1136	4032	-6.973	0.000	0.8137	0.6076	1
1136	4317	56.061	0.000	0.7442	0.4537	1
1136	4537	55.078	0.000	0.7191	0.4076	1
1136	4766	29.999	0.000	0.8830	0.7109	1
1136	4984	34.031	0.000	0.7980	0.6172	1
1136	5022	-161.084	0.000	0.7903	0.5865	1
1136	5029	15.983	0.000	0.8462	0.5630	1
1136	5298	72.021	0.000	0.9065	0.7731	1
1136	5461	9.057	0.000	0.8210	0.5989	1
1136	5589	-22.933	0.000	0.7153	0.5681	1
1136	5602	72.021	0.000	0.8905	0.7005	1
1136	5604	28.067	0.000	0.7235	0.4673	1
1136	5605	14.963	0.000	0.8707	0.6554	1
1136	5610	-62.985	0.000	0.7138	0.5115	1
1136	5627	14.963	0.000	0.8980	0.6930	1
1141	4898	14.016	0.000	0.7265	0.5716	1
1142	2508	-3.994	0.000	0.7241	0.4423	1
1142	2645	-15.994	0.000	0.8392	0.5844	1
1142	2930	-11.999	0.000	0.7105	0.4115	1
1142	3324	-30.010	0.000	0.8136	0.5844	1
1142	3398	-53.246	0.000	0.7136	0.4010	1
1142	3501	-30.010	0.000	0.8201	0.5805	1
1142	3747	-15.957	0.000	0.7310	0.5783	1
1142	4128	0.038	0.000	0.7457	0.5748	1
1142	4239	-15.994	0.000	0.7294	0.5441	1
1142	4862	0.000	0.000	0.8216	0.6112	1
1142	5009	-13.978	0.000	0.7222	0.5441	1
1142	5569	-30.009	0.000	0.8510	0.6312	1
1143	1458	235.227	0.000	0.8248	0.4105	1
1146	1200	170.095	0.000	0.7496	0.6689	1
1146	4193	-28.031	0.000	0.8504	0.6655	1
1146	5201	-28.031	0.000	0.8776	0.6199	1
1147	1249	-138.032	0.000	0.7683	0.5898	1
1147	1323	-364.979	0.000	0.7234	0.5166	1
1147	1345	-152.011	0.000	0.7574	0.5730	1
1147	1454	-82.042	0.000	0.7562	0.7134	1
1147	1536	-172.075	0.000	0.7690	0.5793	1
1147	1564	-164.048	0.000	0.7158	0.5532	1
1147	1694	-47.984	0.000	0.8834	0.7468	1
1147	1774	-84.058	0.000	0.7530	0.6338	1
1147	1782	-108.021	0.000	0.7049	0.6860	1
1147	1819	81.115	0.000	0.7221	0.6278	1
1147	1823	-88.052	0.000	0.8245	0.6522	1
1147	1860	-140.084	0.000	0.7035	0.5698	1
1147	1928	-39.995	0.000	0.7106	0.6276	1
1147	1965	-55.990	0.000	0.7176	0.5964	1
1147	2007	-61.979	0.000	0.7074	0.5870	1
1147	2043	0.000	0.000	0.9478	0.8264	1
1147	2055	-86.037	0.000	0.8342	0.6616	1
1147	2221	-74.037	0.000	0.8335	0.6349	1
1147	2246	-120.021	0.000	0.7040	0.5831	1
1147	2513	-33.984	0.000	0.8637	0.8303	1
1147	2518	-75.995	0.000	0.7296	0.6235	1
1147	2537	-116.047	0.000	0.7686	0.5341	1
1147	2631	-98.036	0.000	0.7829	0.7483	1
1147	2640	-150.032	0.000	0.7728	0.6023	1
1147	2642	28.068	0.000	0.7739	0.7098	1
1147	2651	-47.985	0.000	0.8941	0.7782	1
1147	2672	-107.949	0.000	0.7128	0.5824	1
1147	2689	132.079	0.000	0.8965	0.8370	1
1147	2693	-12.947	0.000	0.8882	0.7289	1
1147	2700	-54.010	0.000	0.7446	0.6032	1
1147	2706	10.005	0.000	0.9267	0.7678	1
1147	2707	-91.990	0.000	0.7070	0.5234	1
1147	2732	14.016	0.000	0.9463	0.8328	1
1147	2788	-1.943	0.000	0.7396	0.7970	1
1147	2824	-372.090	0.000	0.8346	0.6654	1
1147	2866	-128.084	0.000	0.7796	0.5536	1
1147	2896	-5.989	0.000	0.7465	0.5770	1
1147	2939	167.116	0.000	0.7809	0.7129	1
1147	3006	17.026	0.000	0.9157	0.7618	1
1147	3040	-102.068	0.000	0.8133	0.7094	1
1147	3051	-172.073	0.000	0.7813	0.5953	1
1147	3059	-30.958	0.000	0.8693	0.6742	1
1147	3138	-160.016	0.000	0.7065	0.5894	1
1147	3254	-132.043	0.000	0.7210	0.5316	1
1147	3275	-128.084	0.000	0.7992	0.6294	1
1147	3445	-42.010	0.000	0.7546	0.7168	1
1147	3636	-12.947	0.000	0.8924	0.7882	1
1147	3678	-152.010	0.000	0.7043	0.5655	1
1147	3742	-118.005	0.000	0.7302	0.6140	1
1147	3952	22.042	0.000	0.8050	0.4773	1
1147	3987	-288.121	0.000	0.7349	0.5807	1
1147	4232	-144.042	0.000	0.7982	0.6304	1
1147	4375	-27.995	0.000	0.7443	0.6843	1
1147	4442	-130.099	0.000	0.7895	0.6762	1
1147	4476	-167.024	0.000	0.7119	0.6762	1
1147	4640	-27.995	0.000	0.7547	0.6627	1
1147	4677	-122.038	0.000	0.8118	0.6341	1
1147	5041	-42.011	0.000	0.7592	0.7069	1
1147	5064	114.068	0.000	0.9176	0.7648	1
1147	5069	-56.026	0.000	0.7734	0.7207	1
1147	5198	-88.052	0.000	0.7825	0.7305	1
1147	5239	-534.141	0.000	0.7997	0.5837	1
1147	5245	-5.989	0.000	0.7190	0.5598	1
1147	5334	-116.084	0.000	0.8410	0.6542	1
1147	5410	-13.979	0.000	0.7878	0.7600	1
1147	5440	132.079	0.000	0.8848	0.7822	1
1147	5537	-100.053	0.000	0.7681	0.5329	1
1147	5606	63.105	0.000	0.8038	0.7792	1
1148	1424	9.035	0.000	0.7942	0.2535	1
1150	2106	28.032	0.000	0.8039	0.6359	1
1150	2535	44.064	0.000	0.7251	0.6016	1
1150	5442	28.031	0.000	0.7493	0.4426	1
1151	3242	132.100	0.000	0.7553	0.6380	1
1153	1398	-304.080	0.000	0.9553	0.7519	1
1153	1406	-226.046	0.000	0.7378	0.4733	1
1153	1516	-174.052	0.000	0.9552	0.7790	1
1153	1523	-191.095	0.000	0.8446	0.5015	1
1153	1552	-336.106	0.000	0.8635	0.6368	1
1153	1596	-237.084	0.000	0.8773	0.5757	1
1153	1642	18.011	0.000	0.9209	0.7596	1
1153	1690	-14.016	0.000	0.7805	0.4649	1
1153	2012	-361.137	0.000	0.7399	0.3500	1
1153	2091	-361.137	0.000	0.7228	0.3920	1
1153	2394	-639.237	0.000	0.7853	0.4815	1
1153	2481	-174.053	0.000	0.9367	0.7487	1
1153	2625	18.011	0.000	0.9208	0.8258	1
1153	2695	-623.242	0.000	0.7233	0.3749	1
1153	2721	18.011	0.000	0.9103	0.7761	1
1153	2755	-70.089	0.000	0.7382	0.5602	1
1153	2763	-191.043	0.000	0.9260	0.7526	1
1153	2806	-174.053	0.000	0.9373	0.7028	1
1153	2833	-321.106	0.000	0.7778	0.4244	1
1153	2839	-174.053	0.000	0.9374	0.7536	1
1153	2905	-174.020	0.000	0.9301	0.6643	1
1153	2958	18.011	0.000	0.9234	0.8088	1
1153	2963	-0.000	0.000	0.9725	0.7519	1
1153	3013	18.011	0.000	0.9188	0.8103	1
1153	3117	-232.142	0.000	0.8223	0.5058	1
1153	3120	-220.058	0.000	0.9220	0.6947	1
1153	3188	-609.226	0.000	0.7382	0.4014	1
1153	3207	-178.045	0.000	0.9434	0.7526	1
1153	3305	-904.211	0.000	0.7772	0.4198	1
1153	3310	-651.236	0.000	0.7621	0.3797	1
1153	3318	-249.084	0.000	0.7777	0.5075	1
1153	3376	-244.057	0.000	0.9281	0.6505	1
1153	3379	-70.089	0.000	0.7500	0.5680	1
1153	3400	18.011	0.000	0.9211	0.8046	1
1153	3428	-286.069	0.000	0.9339	0.6262	1
1153	3622	0.000	0.000	0.9725	0.7519	1
1153	3658	-80.099	0.000	0.7435	0.4236	1
1153	3737	-247.105	0.000	0.7871	0.4281	1
1153	3868	-244.058	0.000	0.9405	0.6210	1
1153	3874	-156.041	0.000	0.8628	0.6232	1
1153	3931	-262.068	0.000	0.9444	0.6544	1
1153	3932	-205.058	0.000	0.9178	0.7151	1
1153	3942	-144.042	0.000	0.8856	0.5935	1
1153	3964	-94.042	0.000	0.7137	0.3876	1
1153	3969	-232.059	0.000	0.8120	0.4758	1
