CLUSTERID1	CLUSTERID2	DeltaMZ	MinRatio	Cosine	AlignScore2	AlignScore3
4	4126	302.188	0.000	0.7934	0.5694	1
4	4157	581.458	0.000	0.7852	0.5372	1
4	4174	356.198	0.000	0.8888	0.6217	1
4	4182	41.939	0.000	0.8562	0.5641	1
4	4186	384.230	0.000	0.7121	0.6123	1
4	4228	310.214	0.000	0.7436	0.5864	1
4	4240	133.963	0.000	0.8977	0.5805	1
4	4297	358.214	0.000	0.7656	0.6372	1
4	4340	344.198	0.000	0.9010	0.6396	1
4	4400	260.177	0.000	0.9096	0.6123	1
4	4416	581.458	0.000	0.7828	0.4969	1
4	4453	288.172	0.000	0.7904	0.5061	1
4	4479	304.167	0.000	0.9188	0.6786	1
4	4486	26.001	0.000	0.9190	0.5982	1
4	4498	107.948	0.000	0.9481	0.6645	1
4	4500	23.997	0.000	0.9332	0.6287	1
4	4539	384.230	0.000	0.9070	0.6287	1
4	4589	69.970	0.000	0.8841	0.6338	1
4	4615	316.166	0.000	0.9351	0.6396	1
4	4647	330.183	0.000	0.8968	0.6306	1
4	4660	308.199	0.000	0.7824	0.6396	1
4	4670	204.116	0.000	0.7928	0.4230	1
4	4695	330.183	0.000	0.7036	0.5567	1
4	4701	146.022	0.000	0.8778	0.5742	1
4	4728	308.198	0.000	0.9188	0.6338	1
4	4729	258.162	0.000	0.9298	0.6396	1
4	4745	306.183	0.000	0.9124	0.6645	1
4	4783	316.167	0.000	0.7456	0.6567	1
4	4804	216.076	0.000	0.8954	0.5890	1
4	4807	71.987	0.000	0.9536	0.6809	1
4	4856	204.114	0.000	0.7928	0.4230	1
4	4882	342.182	0.000	0.8796	0.6122	1
4	4913	74.000	0.000	0.9139	0.6123	1
4	4959	344.198	0.000	0.9249	0.6396	1
4	4961	71.986	0.000	0.9286	0.5914	1
4	4976	230.131	0.000	0.9167	0.6809	1
4	4997	50.002	0.000	0.9159	0.6396	1
4	5004	232.147	0.000	0.9086	0.6299	1
4	5044	328.167	0.000	0.7606	0.6123	1
4	5065	358.214	0.000	0.9197	0.6464	1
4	5070	244.148	0.000	0.8440	0.5188	1
4	5135	284.199	0.000	0.9300	0.6396	1
4	5192	282.182	0.000	0.9401	0.6645	1
4	5208	334.214	0.000	0.9193	0.6396	1
4	5300	-231.102	0.000	0.8690	0.5789	1
4	5429	133.964	0.000	0.8681	0.5557	1
4	5447	76.018	0.000	0.9155	0.6558	1
4	5448	214.137	0.000	0.8984	0.6293	1
4	5462	308.199	0.000	0.9149	0.6396	1
4	5531	304.168	0.000	0.7612	0.6396	1
4	5591	302.152	0.000	0.9230	0.6685	1
4	5593	3.957	0.000	0.9036	0.5805	1
4	5616	310.215	0.000	0.8991	0.6396	1
5	1424	118.098	0.000	0.7234	0.2524	1
5	2345	267.042	0.000	0.7052	0.2809	1
5	4277	122.056	0.000	0.7476	0.4317	1
9	5233	162.055	0.000	0.8113	0.5775	1
12	509	31.990	0.000	0.7343	0.6151	1
12	2302	-0.073	0.000	0.7057	0.4888	1
12	3393	29.975	0.000	0.7163	0.5166	1
12	4000	-24.073	0.000	0.7421	0.5544	1
12	5116	13.979	0.000	0.7053	0.5292	1
12	5491	-78.119	0.000	0.7029	0.5448	1
13	768	-33.984	0.000	0.8244	0.7067	1
15	499	-44.026	0.000	0.7964	0.5713	1
15	540	11.016	0.000	0.7632	0.5128	1
15	766	40.028	0.000	0.7873	0.5027	1
15	1642	11.016	0.000	0.7592	0.4621	1
15	1720	27.995	0.000	0.7750	0.6318	1
15	2352	50.016	0.000	0.7068	0.5679	1
15	2601	-3.995	0.000	0.8312	0.4165	1
15	2625	11.016	0.000	0.7720	0.4992	1
15	2701	-60.021	0.000	0.8394	0.3972	1
15	2958	11.016	0.000	0.7704	0.4995	1
15	2984	-16.031	0.000	0.7579	0.6104	1
15	3013	11.016	0.000	0.7629	0.4820	1
15	3400	11.016	0.000	0.7687	0.4990	1
15	3940	36.000	0.000	0.7163	0.5599	1
15	4584	10.021	0.000	0.8930	0.5486	1
15	4605	11.016	0.000	0.7768	0.5098	1
15	4671	11.016	0.000	0.7602	0.5177	1
15	5218	-133.037	0.000	0.7897	0.4407	1
17	1125	-454.168	0.000	0.7864	0.6249	1
17	1234	-162.053	0.000	0.7001	0.5164	1
17	1319	-470.163	0.000	0.8119	0.6461	1
18	306	42.011	0.000	0.8422	0.7663	1
18	533	162.053	0.000	0.7039	0.6324	1
18	592	242.078	0.000	0.7123	0.4230	1
18	1150	-105.079	0.000	0.7148	0.3964	1
18	1372	-35.037	0.000	0.7233	0.6814	1
18	1435	-35.036	0.000	0.7413	0.7064	1
18	1565	44.026	0.000	0.7379	0.6602	1
18	1967	-13.979	0.000	0.7033	0.6626	1
18	2106	-77.047	0.000	0.8161	0.5275	1
18	2382	102.031	0.000	0.7535	0.7229	1
18	2790	-82.003	0.000	0.7954	0.6751	1
18	5442	-77.048	0.000	0.9114	0.7911	1
18	5560	-35.037	0.000	0.8322	0.7326	1
20	494	-51.834	0.000	0.8642	0.5879	1
20	955	-53.885	0.000	0.7805	0.5082	1
20	1306	20.187	0.000	0.7205	0.4326	1
20	1619	34.167	0.000	0.8898	0.5707	1
20	5405	92.172	0.000	0.8562	0.5045	1
23	569	266.062	0.000	0.7900	0.6484	1
23	970	224.052	0.000	0.7336	0.6492	1
23	1352	266.062	0.000	0.7790	0.6279	1
23	1473	266.063	0.000	0.7745	0.6523	1
23	2262	-17.028	0.000	0.7039	0.5429	1
23	2400	-265.080	0.000	0.7164	0.5558	1
23	3215	-197.091	0.000	0.7573	0.6055	1
23	4282	266.063	0.000	0.7848	0.6279	1
23	5177	-93.080	0.000	0.7310	0.6166	1
23	5595	-179.080	0.000	0.7038	0.5582	1
23	5621	-35.038	0.000	0.7313	0.5960	1
23	5630	-17.028	0.000	0.7305	0.6545	1
24	95	44.027	0.000	0.7335	0.4163	1
24	108	369.237	0.000	0.7727	0.4766	1
24	120	-268.276	0.000	0.8108	0.6075	1
24	272	71.026	0.000	0.7280	0.5171	1
24	309	-401.379	0.000	0.7042	0.4367	1
24	360	-369.236	0.000	0.7658	0.5191	1
24	407	-180.223	0.000	0.7125	0.5010	1
24	539	-225.282	0.000	0.7095	0.4839	1
24	585	-340.333	0.000	0.7075	0.4972	1
24	720	-164.229	0.000	0.7263	0.5214	1
24	774	-132.079	0.000	0.8393	0.6327	1
24	802	-413.262	0.000	0.7567	0.4689	1
24	805	-313.335	0.000	0.7828	0.4962	1
24	873	-357.360	0.000	0.7786	0.4678	1
24	882	-518.342	0.000	0.7478	0.4897	1
24	897	-136.198	0.000	0.7012	0.4856	1
24	915	0.001	0.000	0.7378	0.4319	1
24	936	-445.413	0.000	0.7150	0.3464	1
24	963	-44.026	0.000	0.8929	0.6643	1
24	1031	-312.301	0.000	0.7134	0.5010	1
24	1097	-457.289	0.000	0.7329	0.4122	1
24	1214	-501.315	0.000	0.7341	0.4878	1
24	1494	-562.368	0.000	0.7826	0.5769	1
24	1519	88.052	0.000	0.7768	0.5277	1
24	1525	-197.250	0.000	0.7026	0.5136	1
24	1728	176.105	0.000	0.7879	0.4766	1
24	2161	111.965	0.000	0.7123	0.4881	1
24	2337	-88.052	0.000	0.8907	0.6719	1
24	2883	-329.330	0.000	0.7760	0.5116	1
24	2948	-285.304	0.000	0.7582	0.4586	1
24	3035	-61.053	0.000	0.8334	0.5555	1
24	3083	220.131	0.000	0.7659	0.4766	1
24	3084	-269.309	0.000	0.7427	0.5347	1
24	3156	-17.026	0.000	0.8478	0.6048	1
24	3406	-149.105	0.000	0.8463	0.5978	1
24	3422	-241.278	0.000	0.7164	0.4124	1
24	3465	-193.132	0.000	0.8185	0.5234	1
24	3600	27.000	0.000	0.8824	0.6866	1
24	3660	132.079	0.000	0.8033	0.5312	1
24	3704	413.263	0.000	0.7745	0.4549	1
24	3724	88.053	0.000	0.8043	0.5406	1
24	3790	-237.158	0.000	0.8459	0.5725	1
24	4029	-281.183	0.000	0.8237	0.5323	1
24	4274	-325.210	0.000	0.8285	0.5158	1
24	4313	-105.080	0.000	0.8443	0.5817	1
24	4335	44.026	0.000	0.9003	0.6812	1
26	113	0.000	0.000	0.9092	0.6714	1
26	427	-179.079	0.000	0.8331	0.6315	1
26	1786	18.011	0.000	0.7969	0.6620	1
30	95	-51.943	0.000	0.7426	0.4914	1
30	3724	-7.917	0.000	0.7720	0.5678	1
33	49	-26.015	0.000	0.8518	0.6640	1
33	696	-35.963	0.000	0.8240	0.6182	1
33	1179	-27.994	0.000	0.7668	0.5203	1
33	1269	14.015	0.000	0.8394	0.5621	1
33	1389	2.015	0.000	0.7747	0.4833	1
33	1541	-54.047	0.000	0.8439	0.6640	1
33	1660	-54.011	0.000	0.8282	0.6542	1
33	1865	-56.061	0.000	0.7028	0.3763	1
33	2183	21.983	0.000	0.7674	0.5254	1
33	2614	-25.979	0.000	0.7687	0.4864	1
33	3069	-11.963	0.000	0.8202	0.6053	1
