CLUSTERID1	CLUSTERID2	DeltaMZ	MinRatio	Cosine	AlignScore2	AlignScore3
4533	5269	42.010	0.000	0.8388	0.7036	1
4536	4548	6.073	0.000	0.7848	0.6669	1
4536	4717	-13.979	0.000	0.7763	0.6215	1
4536	4780	30.011	0.000	0.7034	0.6545	1
4536	4963	-5.914	0.000	0.7008	0.4608	1
4536	5090	126.105	0.000	0.7064	0.4177	1
4536	5428	-5.916	0.000	0.7608	0.6281	1
4536	5487	25.072	0.000	0.7161	0.5342	1
4537	4858	-75.020	0.000	0.8846	0.5129	1
4537	4908	-118.063	0.000	0.8214	0.5402	1
4537	5034	-275.068	0.000	0.8674	0.5366	1
4537	5136	105.043	0.000	0.7980	0.6837	1
4537	5140	-111.998	0.000	0.7343	0.3854	1
4537	5189	-92.048	0.000	0.7628	0.3873	1
4537	5298	16.943	0.000	0.8421	0.4941	1
4537	5313	-550.225	0.000	0.8710	0.4623	1
4537	5369	105.043	0.000	0.7865	0.6152	1
4537	5461	-46.021	0.000	0.9198	0.6090	1
4537	5589	-78.011	0.000	0.8037	0.6377	1
4537	5602	16.943	0.000	0.8604	0.5661	1
4537	5610	-118.062	0.000	0.8446	0.5353	1
4539	4589	-314.260	0.000	0.9062	0.6123	1
4539	4613	-82.040	0.000	0.8909	0.6446	1
4539	4615	-68.064	0.000	0.9591	0.7480	1
4539	4647	-54.047	0.000	0.9579	0.6870	1
4539	4660	-76.031	0.000	0.8148	0.7717	1
4539	4670	-180.114	0.000	0.8420	0.4321	1
4539	4695	-54.047	0.000	0.7775	0.6752	1
4539	4728	-76.032	0.000	0.9575	0.6716	1
4539	4729	-126.068	0.000	0.9630	0.7740	1
4539	4745	-78.047	0.000	0.9634	0.7119	1
4539	4783	-68.063	0.000	0.7922	0.7514	1
4539	4804	-168.154	0.000	0.9068	0.6701	1
4539	4807	-312.243	0.000	0.9434	0.7688	1
4539	4856	-180.116	0.000	0.8420	0.4321	1
4539	4882	-42.048	0.000	0.9568	0.6868	1
4539	4913	-310.230	0.000	0.9292	0.7070	1
4539	4959	-40.032	0.000	0.9678	0.7688	1
4539	4961	-312.244	0.000	0.9460	0.6714	1
4539	4976	-154.099	0.000	0.9470	0.6792	1
4539	4997	-334.228	0.000	0.9171	0.6781	1
4539	5004	-152.083	0.000	0.9452	0.6553	1
4539	5044	-56.063	0.000	0.8061	0.7148	1
4539	5065	-26.016	0.000	0.9631	0.6873	1
4539	5070	-140.082	0.000	0.8826	0.5698	1
4539	5135	-100.031	0.000	0.9435	0.7155	1
4539	5192	-102.048	0.000	0.9486	0.7140	1
4539	5208	-50.016	0.000	0.9593	0.6964	1
4539	5300	-615.332	0.000	0.9003	0.6170	1
4539	5447	-308.212	0.000	0.9152	0.6702	1
4539	5448	-170.093	0.000	0.9113	0.6142	1
4539	5462	-76.031	0.000	0.9596	0.6945	1
4539	5531	-80.062	0.000	0.7924	0.7223	1
4539	5591	-82.078	0.000	0.9391	0.6350	1
4539	5593	-380.273	0.000	0.8973	0.6656	1
4539	5616	-74.015	0.000	0.9509	0.6858	1
4541	4547	371.123	0.000	0.7634	0.6830	1
4541	4573	209.981	0.000	0.9475	0.7177	1
4541	4605	371.123	0.000	0.7797	0.6830	1
4541	4617	353.113	0.000	0.8978	0.6177	1
4541	4624	179.060	0.000	0.9306	0.6765	1
4541	4671	371.124	0.000	0.7656	0.6830	1
4541	4725	35.039	0.000	0.9028	0.6247	1
4541	4733	151.065	0.000	0.9186	0.5347	1
4541	4802	353.113	0.000	0.9133	0.6537	1
4541	4803	116.029	0.000	0.8960	0.5963	1
4541	4931	-516.128	0.000	0.9129	0.7385	1
4541	4990	32.007	0.000	0.9458	0.6428	1
4541	4999	211.997	0.000	0.9249	0.6904	1
4541	5175	123.070	0.000	0.8202	0.3701	1
4541	5188	-583.049	0.000	0.8181	0.3981	1
4541	5196	283.024	0.000	0.7649	0.5684	1
4541	5209	17.028	0.000	0.9503	0.7428	1
4541	5308	234.039	0.000	0.7841	0.5196	1
4541	5316	123.070	0.000	0.8394	0.4601	1
4541	5384	-38.072	0.000	0.7637	0.4478	1
4541	5432	270.016	0.000	0.7040	0.3470	1
4541	5500	155.062	0.000	0.7109	0.3026	1
4541	5596	22.981	0.000	0.7902	0.4119	1
4541	5598	35.039	0.000	0.8918	0.6276	1
4541	5620	283.023	0.000	0.7188	0.5120	1
4542	4609	14.015	0.000	0.9399	0.8469	1
4542	4668	-162.053	0.000	0.9067	0.7832	1
4542	5014	-0.001	0.000	0.9545	0.7427	1
4543	4606	-144.079	0.000	0.7021	0.5157	1
4543	4975	-86.110	0.000	0.7714	0.5275	1
4543	5297	46.968	0.000	0.7431	0.4533	1
4543	5401	-55.046	0.000	0.7011	0.4278	1
4543	5625	124.089	0.000	0.7186	0.5052	1
4544	4661	0.000	0.000	0.7217	0.6324	1
4544	4676	-448.174	0.000	0.7204	0.7006	1
4544	4854	-102.032	0.000	0.7128	0.5014	1
4544	5168	-35.037	0.000	0.7132	0.5573	1
4545	4859	-18.010	0.000	0.8190	0.6193	1
4545	4886	15.996	0.000	0.7244	0.5930	1
4545	4974	138.090	0.000	0.7056	0.5825	1
4545	5325	-78.033	0.000	0.7154	0.6020	1
4545	5381	-18.010	0.000	0.8299	0.6607	1
4545	5465	15.996	0.000	0.7192	0.5888	1
4545	5550	-18.011	0.000	0.7003	0.6315	1
4547	4548	-94.053	0.000	0.7563	0.4994	1
4547	4573	-161.142	0.000	0.7746	0.7331	1
4547	4605	0.000	0.000	0.9856	0.8484	1
4547	4617	-18.011	0.000	0.9026	0.7318	1
4547	4624	-192.063	0.000	0.7400	0.6520	1
4547	4671	0.000	0.000	0.9915	0.8963	1
4547	4717	-114.104	0.000	0.7147	0.6062	1
4547	4725	-336.085	0.000	0.7482	0.6701	1
4547	4733	-220.058	0.000	0.8096	0.6289	1
4547	4802	-18.010	0.000	0.9098	0.7757	1
4547	4895	10.969	0.000	0.8301	0.7395	1
4547	4915	15.995	0.000	0.7029	0.5330	1
4547	4931	-887.252	0.000	0.8007	0.6581	1
4547	4963	-106.040	0.000	0.7882	0.6009	1
4547	4990	-339.116	0.000	0.7965	0.6372	1
4547	4999	-159.126	0.000	0.7285	0.5864	1
4547	5049	-16.104	0.000	0.7203	0.5183	1
4547	5053	25.979	0.000	0.8191	0.7398	1
4547	5074	41.974	0.000	0.7321	0.6501	1
4547	5090	25.979	0.000	0.7895	0.7093	1
4547	5124	-14.016	0.000	0.8137	0.5618	1
4547	5136	-14.016	0.000	0.8615	0.7493	1
4547	5174	8.989	0.000	0.7355	0.5336	1
4547	5175	-248.053	0.000	0.7099	0.4683	1
4547	5188	-954.173	0.000	0.7063	0.3910	1
4547	5209	-354.095	0.000	0.8364	0.7646	1
4547	5280	29.938	0.000	0.7631	0.5297	1
4547	5316	-248.053	0.000	0.7374	0.5083	1
4547	5324	-73.053	0.000	0.7789	0.7722	1
4547	5369	-14.016	0.000	0.8530	0.6740	1
4547	5428	-106.041	0.000	0.8008	0.5927	1
4547	5454	-104.026	0.000	0.7577	0.6679	1
4547	5456	28.979	0.000	0.7456	0.6601	1
4547	5492	-34.078	0.000	0.7323	0.4635	1
4547	5494	-85.861	0.000	0.7096	0.4923	1
4547	5598	-336.085	0.000	0.7665	0.6730	1
4548	4671	94.053	0.000	0.7550	0.4882	1
4548	4805	114.010	0.000	0.7640	0.6375	1
4548	4848	0.976	0.000	0.7485	0.4960	1
4548	4862	-103.998	0.000	0.7370	0.5109	1
4548	5053	120.032	0.000	0.8501	0.6304	1
4548	5174	103.042	0.000	0.7934	0.5285	1
4548	5178	112.990	0.000	0.7037	0.5531	1
4548	5428	-11.988	0.000	0.8561	0.5366	1
4548	5454	-9.973	0.000	0.8607	0.6436	1
4548	5487	18.999	0.000	0.7796	0.6345	1
4548	5667	-66.018	0.000	0.7127	0.4979	1
4549	4975	-98.110	0.000	0.7590	0.6375	1
4552	5660	162.053	0.000	0.7433	0.5020	1
4553	4590	-350.261	0.000	0.7103	0.6244	1
4553	4597	-18.010	0.000	0.8205	0.6654	1
4553	4626	-152.105	0.000	0.7130	0.6374	1
4553	4642	-126.068	0.000	0.7345	0.6587	1
4553	4678	-0.000	0.000	0.9186	0.7587	1
4553	4762	26.016	0.000	0.8862	0.7602	1
4553	4878	-60.057	0.000	0.7188	0.5433	1
4553	4897	-18.010	0.000	0.7559	0.6772	1
4553	4975	-200.178	0.000	0.7331	0.6263	1
4553	4977	26.016	0.000	0.8949	0.7870	1
4553	5046	26.016	0.000	0.8626	0.7359	1
4553	5071	48.036	0.000	0.7084	0.6931	1
4553	5124	24.109	0.000	0.8149	0.7022	1
4553	5131	-30.011	0.000	0.7001	0.5075	1
4553	5132	-150.090	0.000	0.7068	0.6013	1
4553	5181	-74.037	0.000	0.7420	0.6168	1
4553	5246	64.068	0.000	0.7484	0.6877	1
4553	5271	-4.031	0.000	0.7456	0.7009	1
4553	5285	26.016	0.000	0.8842	0.7608	1
4553	5356	-158.094	0.000	0.7283	0.6346	1
4553	5361	26.016	0.000	0.8459	0.6996	1
4553	5420	-36.021	0.000	0.7990	0.6309	1
4553	5449	-166.172	0.000	0.7221	0.4992	1
