CLUSTERID1	CLUSTERID2	DeltaMZ	MinRatio	Cosine	AlignScore2	AlignScore3
2268	2918	199.165	0.000	0.7198	0.4891	1
2268	4419	349.233	0.000	0.7530	0.5971	1
2269	3370	9.984	0.000	0.7816	0.6171	1
2269	3463	9.985	0.000	0.8126	0.6457	1
2269	3713	36.000	0.000	0.7943	0.6311	1
2269	4045	21.984	0.000	0.7440	0.4837	1
2269	4266	-18.046	0.000	0.7814	0.6319	1
2269	5323	-26.015	0.000	0.7794	0.6291	1
2269	5450	-4.031	0.000	0.7709	0.6317	1
2270	4017	200.884	0.000	0.7853	0.3465	1
2271	2395	-17.935	0.000	0.7811	0.4912	1
2271	5589	30.030	0.000	0.7563	0.4840	1
2272	3113	49.979	0.000	0.8879	0.6577	1
2272	3150	65.161	0.000	0.7167	0.3776	1
2272	3273	14.018	0.000	0.9054	0.6855	1
2272	3570	78.011	0.000	0.8740	0.6876	1
2272	3784	54.034	0.000	0.8607	0.6667	1
2272	3836	28.031	0.000	0.9040	0.7086	1
2272	4251	44.026	0.000	0.8730	0.6199	1
2272	4388	28.031	0.000	0.9040	0.7086	1
2272	4786	2.015	0.000	0.7059	0.5809	1
2272	5036	261.219	0.000	0.7461	0.3902	1
2272	5058	-342.960	0.000	0.7092	0.3919	1
2273	2677	57.021	0.000	0.7504	0.4019	1
2273	3658	307.084	0.000	0.7136	0.3668	1
2274	3398	-51.031	0.000	0.7306	0.3875	1
2274	3584	60.256	0.000	0.7088	0.4160	1
2274	3883	-14.016	0.000	0.8412	0.5573	1
2274	3897	148.162	0.000	0.7097	0.4908	1
2274	3950	48.074	0.000	0.7033	0.4544	1
2275	2306	-30.010	0.000	0.7511	0.5893	1
2275	2529	37.980	0.000	0.7208	0.4300	1
2275	3109	-1.979	0.000	0.8077	0.6284	1
2277	3357	-5.990	0.000	0.7729	0.5940	1
2277	3536	51.958	0.000	0.7694	0.6933	1
2280	2622	30.048	0.000	0.8025	0.5904	1
2280	2691	-79.956	0.000	0.7752	0.5016	1
2280	2812	59.063	0.000	0.8894	0.7630	1
2280	2980	59.063	0.000	0.8701	0.7020	1
2280	3034	71.063	0.000	0.7195	0.4916	1
2280	3094	-17.973	0.000	0.7204	0.6039	1
2280	3170	94.044	0.000	0.8335	0.7093	1
2280	3213	30.048	0.000	0.9029	0.6855	1
2280	3243	14.053	0.000	0.9098	0.7460	1
2280	3264	-2.052	0.000	0.8268	0.6000	1
2280	3344	44.064	0.000	0.9036	0.7067	1
2280	3415	60.058	0.000	0.8955	0.6805	1
2280	3728	70.066	0.000	0.8214	0.5916	1
2280	3921	16.031	0.000	0.7466	0.5431	1
2280	3926	44.063	0.000	0.9036	0.7067	1
2280	4012	221.143	0.000	0.7446	0.5531	1
2280	4036	221.143	0.000	0.7446	0.5531	1
2280	4158	66.012	0.000	0.8566	0.6974	1
2280	4195	122.077	0.000	0.7861	0.6196	1
2280	4217	46.043	0.000	0.8436	0.7041	1
2280	4373	94.043	0.000	0.8335	0.7093	1
2280	4423	164.084	0.000	0.7386	0.6608	1
2280	4477	75.105	0.000	0.7229	0.5645	1
2280	4496	80.027	0.000	0.8492	0.7125	1
2280	4659	7.032	0.000	0.7812	0.5994	1
2280	4786	18.048	0.000	0.7398	0.6625	1
2280	4814	68.027	0.000	0.8070	0.6036	1
2280	5081	41.099	0.000	0.7291	0.4722	1
2280	5118	44.061	0.000	0.9059	0.7594	1
2280	5279	-15.959	0.000	0.7327	0.4444	1
2280	5291	221.143	0.000	0.7446	0.5531	1
2280	5647	41.100	0.000	0.7291	0.4722	1
2283	3132	422.266	0.000	0.8274	0.4668	1
2283	4582	21.984	0.000	0.8078	0.4299	1
2284	2487	112.089	0.000	0.7561	0.5704	1
2284	2538	54.048	0.000	0.7400	0.6353	1
2284	2559	54.047	0.000	0.7013	0.4711	1
2284	2661	10.021	0.000	0.7057	0.5489	1
2284	2709	56.063	0.000	0.7090	0.5926	1
2284	2880	128.084	0.000	0.7946	0.6997	1
2284	2904	56.063	0.000	0.7281	0.5835	1
2284	2921	40.032	0.000	0.7157	0.5478	1
2284	3278	128.084	0.000	0.7580	0.5902	1
2284	3329	-3.994	0.000	0.7154	0.4934	1
2284	3648	54.047	0.000	0.7400	0.6353	1
2284	3743	110.074	0.000	0.7272	0.6791	1
2284	3893	28.032	0.000	0.7241	0.5942	1
2284	4103	28.032	0.000	0.7472	0.6379	1
2284	4117	128.084	0.000	0.7978	0.5919	1
2284	4168	62.038	0.000	0.7313	0.6308	1
2284	4177	28.032	0.000	0.7192	0.5887	1
2284	4191	-18.010	0.000	0.7256	0.5856	1
2284	4334	-282.219	0.000	0.7305	0.6263	1
2284	4367	28.032	0.000	0.7915	0.5748	1
2284	4378	128.084	0.000	0.7771	0.5902	1
2284	4456	28.031	0.000	0.7116	0.5565	1
2284	4510	54.047	0.000	0.7426	0.6290	1
2284	4527	56.063	0.000	0.7190	0.5324	1
2284	4560	107.063	0.000	0.7120	0.5839	1
2284	4597	112.089	0.000	0.7279	0.6982	1
2284	4754	58.006	0.000	0.7250	0.6529	1
